name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,483,40,100,12,4831004012,Phrygias,483.781,-40.90625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,497,2,96,116,4979602116,Phrygias,497.75,-2.09375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,476,39,77,90,476773990,Phrygias,476.602,-39.296875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,464,3,35,69,464350369,Phrygias,464.273,-3.4609375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,493,18,10,41,493101841,Phrygias,493.078,-18.6796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,507,6,111,3,5071110603,Phrygias,507.867,-6.9765625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,482,12,58,24,482581224,Phrygias,482.453,-12.8125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,556,10,120,5,5561201005,Phrygias,556.938,-10.9609375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,457,20,60,114,4576020114,Phrygias,457.469,-20.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,608,11,114,99,6081141199,Phrygias,608.891,-11.2265625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,587,2,123,27,5871230227,Phrygias,587.961,-2.7890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,513,9,92,114,5139209114,Phrygias,513.719,-9.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,461,7,76,20,461760720,Phrygias,461.594,-7.84375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,478,9,19,116,4781909116,Phrygias,478.148,-9.09375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,468,2,49,56,468490256,Phrygias,468.383,-2.5625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,508,10,97,125,5089710125,Phrygias,508.758,-10.0234375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,470,40,19,118,4701940118,Phrygias,470.148,-40.078125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,483,22,12,108,4831222108,Phrygias,483.094,-22.15625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,506,9,54,102,5065409102,Phrygias,506.422,-9.203125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,450,0,91,14,450910014,Phrygias,450.711,-0.890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,490,10,33,83,490331083,Phrygias,490.258,-10.3515625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,482,16,77,49,482771649,Phrygias,482.602,-16.6171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,535,1,109,82,5351090182,Phrygias,535.852,-1.359375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,480,14,26,8,480261408,Phrygias,480.203,-14.9375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,543,13,125,54,5431251354,Phrygias,543.977,-13.578125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,469,29,35,44,469352944,Phrygias,469.273,-29.65625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,582,15,17,111,5821715111,Phrygias,582.133,-15.1328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,576,17,23,45,576231745,Phrygias,576.18,-17.6484375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,466,40,41,86,466414086,Phrygias,466.32,-40.328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,460,9,6,104,4600609104,Phrygias,460.047,-9.1875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,581,2,40,92,581400292,Phrygias,581.313,-2.28125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,462,14,124,101,46212414101,Phrygias,462.969,-14.2109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,502,14,77,8,502771408,Phrygias,502.602,-14.9375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,497,13,100,41,4971001341,Phrygias,497.781,-13.6796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,515,3,81,45,515810345,Phrygias,515.633,-3.6484375
