name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Bandit Camp,0,WOD_BanditCamp_02,242,425,95,124,24295425124,Pothago
Bandit Camp,0,WOD_BanditCamp_03,245,429,84,79,2458442979,Pothago
Bandit Camp,0,WOD_BanditCamp_01,221,419,111,6,22111141906,Pothago
Bandit Camp,0,WOD_BanditCamp_03,257,412,106,12,25710641212,Pothago
Bandit Fort,0,WOD_BanditFort_02,254,406,120,61,25412040661,Pothago
Bandit Fort,0,WOD_BanditFort_02,258,408,3,108,25803408108,Pothago
Bandit Fort,0,WOD_BanditFort_02,263,411,51,86,2635141186,Pothago
Bandit Camp,0,WOD_BanditCamp_02,242,427,127,46,24212742746,Pothago
Bandit Fort,0,WOD_BanditFort_02,242,413,106,97,24210641397,Pothago
Bandit Camp,0,WOD_BanditCamp_05,238,409,54,26,2385440926,Pothago
Bandit Fort,0,WOD_BanditFort_01,239,412,59,9,2395941209,Pothago
Bandit Camp,0,WOD_BanditCamp_05,256,418,15,47,2561541847,Pothago
Bandit Camp,0,WOD_BanditCamp_01,266,408,17,22,2661740822,Pothago
