name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,,229,420,67,100,Pothago,229.5234375,-420.21875
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,230,422,82,61,Pothago,230.640625,-422.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,232,422,51,61,Pothago,232.3984375,-422.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,233,422,118,61,Pothago,233.921875,-422.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,237,422,15,61,Pothago,237.1171875,-422.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,239,424,63,61,Pothago,239.4921875,-424.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,242,426,61,61,Pothago,242.4765625,-426.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,246,424,28,61,Pothago,246.21875,-424.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,251,423,12,61,Pothago,251.09375,-423.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,253,423,76,61,Pothago,253.59375,-423.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,255,423,29,61,Pothago,255.2265625,-423.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,261,418,1,61,Pothago,261.0078125,-418.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,258,412,116,61,Pothago,258.90625,-412.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,254,409,120,61,Pothago,254.9375,-409.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,251,408,101,61,Pothago,251.7890625,-408.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,246,410,41,61,Pothago,246.3203125,-410.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,244,410,47,61,Pothago,244.3671875,-410.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,237,414,13,61,Pothago,237.1015625,-414.5234375
Pothago Banner Post,0,WOD_Pothago_BannerPost_01,90.0,234,414,72,61,Pothago,234.5625,-414.5234375
