name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_BanditCamp,0,WOD_BanditCamp_07,251,404,64,21,2516440421,251.5,-404.8359375
WOD_FarmB,0,WOD_Farmba00,254,404,107,64,25410740464,254.8359375,-404.5
WOD_FarmB,0,WOD_Farmba01,246,405,107,64,24610740564,246.8359375,-405.5
WOD_FarmB,0,WOD_Farmba03,255,406,21,107,25521406107,255.1640625,-406.1640625
WOD_FarmB,0,WOD_Farmba00,255,406,64,21,2556440621,255.5,-406.8359375
WOD_BanditCamp,0,WOD_BanditCamp_02,258,406,21,21,2582140621,258.1640625,-406.8359375
WOD_BanditFort,0,WOD_BanditFort_01,258,406,64,107,25864406107,258.5,-406.1640625
WOD_FarmB,0,WOD_Farmba02,258,406,107,64,25810740664,258.8359375,-406.5
WOD_BanditFort,0,WOD_BanditFort_01,259,406,21,107,25921406107,259.1640625,-406.1640625
WOD_FarmA,0,WOD_Farmaa00,267,406,64,107,26764406107,267.5,-406.1640625
WOD_FarmB,0,WOD_Farmba00,241,407,21,107,24121407107,241.1640625,-407.1640625
WOD_FarmB,0,WOD_Farmba04,241,407,64,107,24164407107,241.5,-407.1640625
WOD_FarmB,0,WOD_Farmba00,241,407,107,64,24110740764,241.8359375,-407.5
WOD_FarmB,0,WOD_Farmba04,241,407,107,107,241107407107,241.8359375,-407.1640625
WOD_Ruins,0,WOD_Ruins_06,246,407,64,107,24664407107,246.5,-407.1640625
WOD_FarmB,0,WOD_Farmba04,248,407,21,64,2482140764,248.1640625,-407.5
WOD_BanditCamp,0,WOD_BanditCamp_04,248,407,107,107,248107407107,248.8359375,-407.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,253,407,107,21,25310740721,253.8359375,-407.8359375
WOD_FarmB,0,WOD_Farmba04,253,407,107,107,253107407107,253.8359375,-407.1640625
WOD_Ruins,0,WOD_Ruins_06,259,407,21,64,2592140764,259.1640625,-407.5
WOD_FarmB,0,WOD_Farmba03,264,407,21,107,26421407107,264.1640625,-407.1640625
WOD_FarmB,0,WOD_Farmba04,266,407,74,21,2666440721,266.5,-407.8359375
WOD_Ruins,0,WOD_Ruins_05,235,408,21,107,23521408107,235.1640625,-408.1640625
WOD_Ruins,0,WOD_Ruins_04,235,408,107,64,23510740864,235.8359375,-408.5
WOD_FarmB,0,WOD_Farmba04,235,408,107,107,235107408107,235.8359375,-408.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,246,408,64,107,24664408107,246.5,-408.1640625
WOD_FarmB,0,WOD_Farmba04,248,408,107,21,24810740821,248.8359375,-408.8359375
WOD_FarmB,0,WOD_Farmba02,250,408,21,74,2502140864,250.1640625,-408.5
WOD_BanditCamp,0,WOD_BanditCamp_07,251,408,64,21,2516440821,251.5,-408.8359375
WOD_FarmB,0,WOD_Farmba00,254,408,107,64,25410740864,254.8359375,-408.5
WOD_BanditCamp,0,WOD_BanditCamp_06,255,408,21,107,25521408107,255.1640625,-408.1640625
WOD_FarmB,0,WOD_Farmba02,263,408,21,107,26321408107,263.1640625,-408.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,266,408,71,64,2666440864,266.5,-408.5
WOD_FarmB,0,WOD_Farmba04,231,409,21,107,23121409107,231.1640625,-409.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,236,409,107,30,23610740921,236.8359375,-409.8359375
WOD_BanditCamp,0,WOD_BanditCamp_06,236,409,64,21,2366440921,236.5,-409.8359375
WOD_FarmB,0,WOD_Farmba03,245,409,107,64,24510740964,245.8359375,-409.5
WOD_FarmB,0,WOD_Farmba01,245,409,107,107,245107409107,245.8359375,-409.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_02,247,409,107,111,247107409107,247.8359375,-409.1640625
WOD_FarmB,0,WOD_Farmba02,249,409,21,107,24921409107,249.1640625,-409.1640625
WOD_Ruins,0,WOD_Ruins_01,250,409,107,31,25010740921,250.8359375,-409.8359375
WOD_FarmB,0,WOD_Farmba04,250,409,21,118,25021409107,250.1640625,-409.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,253,409,21,21,2532140921,253.1640625,-409.8359375
WOD_FarmB,0,WOD_Farmba01,253,409,21,64,2532140964,253.1640625,-409.5
WOD_Ruins,0,WOD_Ruins_06,254,409,64,56,2546440964,254.5,-409.5
WOD_GuardTower,0,WOD_Guardtower_01,255,409,69,64,2556440964,255.5,-409.5
WOD_FarmB,0,WOD_Farmba00,255,409,21,107,25521409107,255.1640625,-409.1640625
WOD_Ruins,0,WOD_Ruins_03,257,409,64,21,2576440921,257.5,-409.8359375
WOD_Ruins,0,WOD_Ruins_01,261,409,21,21,2612140921,261.1640625,-409.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_01,261,409,21,64,2612140964,261.1640625,-409.5
WOD_FarmB,0,WOD_Farmba04,261,409,21,107,26121409107,261.1640625,-409.1640625
WOD_Ruins,0,WOD_Ruins_06,261,409,107,21,26110740921,261.8359375,-409.8359375
WOD_Ruins,0,WOD_Ruins_04,265,409,107,114,265107409107,265.8359375,-409.1640625
WOD_OrcCamp,0,WOD_OrcCamp_Small_01,267,409,107,21,26710740921,267.8359375,-409.8359375
WOD_BanditCamp,0,WOD_BanditCamp_02,267,409,107,64,26710740964,267.8359375,-409.5
WOD_BanditCamp,0,WOD_BanditCamp_02,237,410,21,116,23721410107,237.1640625,-410.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,237,410,64,21,2376441021,237.5,-410.8359375
WOD_FarmB,0,WOD_Farmba03,238,410,21,54,2382141064,238.1640625,-410.5
WOD_BanditCamp,0,WOD_BanditCamp_06,240,410,21,21,2402141021,240.1640625,-410.8359375
WOD_FarmB,0,WOD_Farmba02,243,410,21,107,24321410107,243.1640625,-410.1640625
WOD_GuardTower,0,WOD_Guardtower_01,244,410,107,60,24410741064,244.8359375,-410.5
