name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_10,54,265,412,100,13,Pothago,265.78125,-412.8984375,7,,0.5,0.45744235
Rocks,1,WOD_Rocks_Round_Small_07,98,237,424,6,12,Pothago,237.046875,-424.90625,7,,0.5,0.41040155
Rocks,1,WOD_Rocks_Round_Small_01,-135,242,420,22,61,Pothago,242.171875,-420.5234375,7,,0.5,0.4530704
Rocks,1,WOD_Rocks_Round_Small_05,-79,252,416,102,38,Pothago,252.796875,-416.703125,7,,0.5,0.4151777
Rocks,1,WOD_Rocks_Round_Small_05,-133,233,415,93,26,Pothago,233.7265625,-415.796875,7,,0.5,0.38595135
Rocks,1,WOD_Rocks_Round_Small_04,-110,236,421,6,88,Pothago,236.046875,-421.3125,7,,0.5,0.46997435
Rocks,1,WOD_Rocks_Round_Small_06,28,230,411,4,64,Pothago,230.03125,-411.5,7,,0.5,0.4970353
Rocks,1,WOD_Rocks_Round_Small_01,164,246,407,97,82,Pothago,246.7578125,-407.359375,7,,0.5,0.4763441
Rocks,1,WOD_Rocks_Round_Small_01,-103,257,414,10,0,Pothago,257.078125,-415.0,7,,0.5,0.40700405
Rocks,1,WOD_Rocks_Round_Small_09,-16,242,424,110,46,Pothago,242.859375,-424.640625,7,,0.5,0.42564435
Rocks,1,WOD_Rocks_Round_Small_02,149,230,411,63,5,Pothago,230.4921875,-411.9609375,7,,0.5,0.38509245
Rocks,1,WOD_Rocks_Round_Small_03,-46,249,426,86,31,Pothago,249.671875,-426.7578125,7,,0.5,0.4212057
Rocks,1,WOD_Rocks_Round_Small_03,176,240,427,6,27,Pothago,240.046875,-427.7890625,7,,0.5,0.4419343
Rocks,1,WOD_Rocks_Round_Small_10,-156,233,412,35,10,Pothago,233.2734375,-412.921875,7,,0.5,0.38749705
Rocks,1,WOD_Rocks_Round_Small_10,-90,223,419,68,4,Pothago,223.53125,-419.96875,7,,0.5,0.44240435
Rocks,1,WOD_Rocks_Round_Small_05,-172,254,420,40,19,Pothago,254.3125,-420.8515625,7,,0.5,0.3784063
Rocks,1,WOD_Rocks_Round_Small_05,151,269,408,22,26,Pothago,269.171875,-408.796875,7,,0.5,0.43922805
Rocks,1,WOD_Rocks_Round_Small_01,-12,229,411,31,77,Pothago,229.2421875,-411.3984375,7,,0.5,0.41733175
Rocks,1,WOD_Rocks_Round_Small_07,78,245,413,90,29,Pothago,245.703125,-413.7734375,7,,0.5,0.4028402
Rocks,1,WOD_Rocks_Round_Small_06,78,254,422,120,111,Pothago,254.9375,-422.1328125,7,,0.5,0.3976591
Rocks,1,WOD_Rocks_Round_Small_10,-65,231,418,72,59,Pothago,231.5625,-418.5390625,7,,0.5,0.44756435
Rocks,1,WOD_Rocks_Round_Small_02,-57,247,421,41,106,Pothago,247.3203125,-421.171875,7,,0.5,0.47725225
Rocks,1,WOD_Rocks_Round_Small_07,146,257,422,56,24,Pothago,257.4375,-422.8125,7,,0.5,0.46053295
Rocks,1,WOD_Rocks_Round_Small_10,38,237,421,29,49,Pothago,237.2265625,-421.6171875,7,,0.5,0.41068335
Rocks,1,WOD_Rocks_Round_Small_01,52,252,417,17,127,Pothago,252.1328125,-417.0078125,7,,0.5,0.41153775
Rocks,1,WOD_Rocks_Round_Small_08,-82,259,418,81,50,Pothago,259.6328125,-418.609375,7,,0.5,0.3912658
Rocks,1,WOD_Rocks_Round_Small_04,121,235,421,60,15,Pothago,235.46875,-421.8828125,7,,0.5,0.4612069
Rocks,1,WOD_Rocks_Round_Small_02,112,247,421,50,99,Pothago,247.390625,-421.2265625,7,,0.5,0.3757088
Rocks,1,WOD_Rocks_Round_Small_10,-86,237,411,54,6,Pothago,237.421875,-411.953125,7,,0.5,0.3877434
Rocks,1,WOD_Rocks_Round_Small_01,168,235,410,68,56,Pothago,235.53125,-410.5625,7,,0.5,0.4572792
Rocks,1,WOD_Rocks_Round_Small_04,50,235,413,116,52,Pothago,235.90625,-413.59375,7,,0.5,0.46704955
Rocks,1,WOD_Rocks_Round_Small_09,-76,246,409,27,67,Pothago,246.2109375,-409.4765625,7,,0.5,0.4135475
Rocks,1,WOD_Rocks_Round_Small_08,-16,238,421,50,90,Pothago,238.390625,-421.296875,7,,0.5,0.4076175
Rocks,1,WOD_Rocks_Round_Small_04,103,253,415,115,58,Pothago,253.8984375,-415.546875,7,,0.5,0.4959042
Rocks,1,WOD_Rocks_Round_Small_10,3,248,425,8,72,Pothago,248.0625,-425.4375,7,,0.5,0.4431906
Rocks,1,WOD_Rocks_Round_Small_01,114,239,417,9,68,Pothago,239.0703125,-417.46875,7,,0.5,0.483144
Rocks,1,WOD_Rocks_Round_Small_10,-140,244,413,81,99,Pothago,244.6328125,-413.2265625,7,,0.5,0.4926627
Rocks,1,WOD_Rocks_Round_Small_10,66,229,416,42,68,Pothago,229.328125,-416.46875,7,,0.5,0.4800656
Rocks,1,WOD_Rocks_Round_Small_03,107,237,425,118,109,Pothago,237.921875,-425.1484375,7,,0.5,0.38636895
Rocks,1,WOD_Rocks_Round_Small_01,50,246,420,41,24,Pothago,246.3203125,-420.8125,7,,0.5,0.4040627
Rocks,1,WOD_Rocks_Round_Small_07,109,246,420,36,18,Pothago,246.28125,-420.859375,7,,0.5,0.48457325
Rocks,1,WOD_Rocks_Round_Small_06,-47,228,422,40,114,Pothago,228.3125,-422.109375,7,,0.5,0.41144515
Rocks,1,WOD_Rocks_Round_Small_07,-136,237,421,104,29,Pothago,237.8125,-421.7734375,7,,0.5,0.44860865
Rocks,1,WOD_Rocks_Round_Small_04,-167,227,414,97,65,Pothago,227.7578125,-414.4921875,7,,0.5,0.4476875
Rocks,1,WOD_Rocks_Round_Small_09,120,236,412,69,52,Pothago,236.5390625,-412.59375,7,,0.5,0.4718514
Rocks,1,WOD_Rocks_Round_Small_01,97,251,414,109,97,Pothago,251.8515625,-414.2421875,7,,0.5,0.42022235
Rocks,1,WOD_Rocks_Round_Small_09,88,248,421,33,72,Pothago,248.2578125,-421.4375,7,,0.5,0.3921724
Rocks,1,WOD_Rocks_Round_Small_08,-16,224,421,95,31,Pothago,224.7421875,-421.7578125,7,,0.5,0.4839161
Rocks,1,WOD_Rocks_Round_Small_09,80,228,420,41,50,Pothago,228.3203125,-420.609375,7,,0.5,0.44286025
Rocks,1,WOD_Rocks_Round_Small_07,-73,232,418,104,19,Pothago,232.8125,-418.8515625,7,,0.5,0.42009695
Rocks,1,WOD_Rocks_Round_Small_09,62,238,424,87,1,Pothago,238.6796875,-424.9921875,7,,0.5,0.4341871
Rocks,1,WOD_Rocks_Round_Small_10,-178,239,409,95,96,Pothago,239.7421875,-409.25,7,,0.5,0.3916406
Rocks,1,WOD_Rocks_Round_Small_06,-166,243,426,59,127,Pothago,243.4609375,-426.0078125,7,,0.5,0.48759975
Rocks,1,WOD_Rocks_Round_Small_07,170,238,409,77,115,Pothago,238.6015625,-409.1015625,7,,0.5,0.4877389
Rocks,1,WOD_Rocks_Round_Small_09,23,256,409,12,68,Pothago,256.09375,-409.46875,7,,0.5,0.4689108
Rocks,1,WOD_Rocks_Round_Small_07,-171,241,410,76,69,Pothago,241.59375,-410.4609375,7,,0.5,0.476204
Rocks,1,WOD_Rocks_Round_Small_10,-109,229,423,3,4,Pothago,229.0234375,-423.96875,7,,0.5,0.42218015
Rocks,1,WOD_Rocks_Round_Small_10,-12,233,414,68,106,Pothago,233.53125,-414.171875,7,,0.5,0.44351875
Rocks,1,WOD_Rocks_Round_Small_10,140,256,410,70,109,Pothago,256.546875,-410.1484375,7,,0.5,0.41145795
Rocks,1,WOD_Rocks_Round_Small_06,-91,230,424,79,54,Pothago,230.6171875,-424.578125,7,,0.5,0.43160255
Rocks,1,WOD_Rocks_Round_Small_03,-11,254,416,23,36,Pothago,254.1796875,-416.71875,7,,0.5,0.48046655
Rocks,1,WOD_Rocks_Round_Small_09,160,249,421,41,96,Pothago,249.3203125,-421.25,7,,0.5,0.4031152
Rocks,1,WOD_Rocks_Round_Small_10,-99,247,427,96,9,Pothago,247.75,-427.9296875,7,,0.5,0.390888
Rocks,1,WOD_Rocks_Round_Small_10,-75,242,424,81,81,Pothago,242.6328125,-424.3671875,7,,0.5,0.437219
Rocks,1,WOD_Rocks_Round_Small_02,160,238,425,114,74,Pothago,238.890625,-425.421875,7,,0.5,0.4668742
Rocks,1,WOD_Rocks_Round_Small_04,-164,248,429,28,123,Pothago,248.21875,-429.0390625,7,,0.5,0.47527725
Rocks,1,WOD_Rocks_Round_Small_10,-167,236,419,125,69,Pothago,236.9765625,-419.4609375,7,,0.5,0.4429974
Rocks,1,WOD_Rocks_Round_Small_01,110,251,411,26,4,Pothago,251.203125,-411.96875,7,,0.5,0.4105081
Rocks,1,WOD_Rocks_Round_Small_01,-148,233,419,96,83,Pothago,233.75,-419.3515625,7,,0.5,0.4829608
Rocks,1,WOD_Rocks_Round_Small_09,100,245,421,41,76,Pothago,245.3203125,-421.40625,7,,0.5,0.4651207
Rocks,1,WOD_Rocks_Round_Small_09,59,255,410,65,26,Pothago,255.5078125,-410.796875,7,,0.5,0.3890958
Rocks,1,WOD_Rocks_Round_Small_04,126,246,427,67,64,Pothago,246.5234375,-427.5,7,,0.5,0.41014635
Rocks,1,WOD_Rocks_Round_Small_04,-36,246,409,128,123,Pothago,247.0,-409.0390625,7,,0.5,0.3956826
Rocks,1,WOD_Rocks_Round_Small_04,135,246,410,35,108,Pothago,246.2734375,-410.15625,7,,0.5,0.3975581
Rocks,1,WOD_Rocks_Round_Small_01,98,241,417,68,109,Pothago,241.53125,-417.1484375,7,,0.5,0.47125095
Rocks,1,WOD_Rocks_Round_Small_09,21,235,409,125,83,Pothago,235.9765625,-409.3515625,7,,0.5,0.476623
Rocks,1,WOD_Rocks_Round_Small_01,112,267,412,61,118,Pothago,267.4765625,-412.078125,7,,0.5,0.4684518
Rocks,1,WOD_Rocks_Round_Small_01,-26,224,421,92,52,Pothago,224.71875,-421.59375,7,,0.5,0.44351455
