name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Ruins,0,WOD_Ruins_03,249,405,43,128,24940405125,Pothago
Ruins,0,WOD_Ruins_04,243,426,108,63,24310642661,Pothago
Ruins,0,WOD_Ruins_03,236,419,99,66,2369641963,Pothago
Ruins,0,WOD_Ruins_02,246,407,80,61,2467840759,Pothago
Ruins,0,WOD_Ruins_05,249,408,95,16,2499140812,Pothago
Ruins,0,WOD_Ruins_05,247,411,110,109,247106411105,Pothago
Ruins,0,WOD_Ruins_03,248,423,49,13,2484642310,Pothago
Ruins,0,WOD_Ruins_06,246,420,51,99,2464742095,Pothago
Ruins,0,WOD_Ruins_05,261,405,26,113,26122405109,Pothago
Ruins,0,WOD_Ruins_03,265,411,91,77,2658841174,Pothago
Ruins,0,WOD_Ruins_03,229,414,87,119,22984414116,Pothago
Ruins,0,WOD_Ruins_04,257,402,70,3,2576840201,Pothago
