name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Shrine of Dibella,0,WOD_Shrine_Dibella_01,248,407,5,89,2480440788,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,232,417,102,9,23210141708,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,233,423,16,27,2331542326,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,259,413,73,119,25972413118,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,253,404,123,24,25312240423,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,228,416,27,78,2282641677,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,247,425,85,55,2478442554,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,244,411,30,30,2442941129,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,226,422,43,1,2264242200,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,224,419,14,89,2241341988,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,236,409,61,126,23660409125,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,248,408,62,34,2486140833,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,239,411,80,106,23979411105,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,249,427,85,41,2498442740,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,248,426,55,48,2485442647,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,256,417,30,105,25629417104,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,229,421,30,68,2292942167,Pothago
Shrine of Dibella,0,WOD_Shrine_Dibella_01,239,414,20,125,23919414124,Pothago
