name,type,prefab,worldX,worldY,terrainX,terrainY,gisX,gisY
WOD_BanditCamp,0,WOD_BanditCamp_08,643,409,107,64,643.8359375,-409.5
WOD_Ruins,0,WOD_Ruins_01,654,409,21,21,654.1640625,-409.8359375
WOD_BanditCamp,0,WOD_BanditCamp_02,637,411,21,64,637.1640625,-411.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_04,651,412,21,110,651.1640625,-412.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,651,413,107,64,651.8359375,-413.5
WOD_BanditCamp,0,WOD_BanditCamp_08,643,414,21,64,643.1640625,-414.5
WOD_BanditCamp,0,WOD_BanditCamp_01,655,415,21,107,655.1640625,-415.1640625
WOD_Ruins,0,WOD_Ruins_03,635,416,21,21,635.1640625,-416.8359375
WOD_GuardTower,0,WOD_Guardtower_01,637,416,64,59,637.5,-416.5
WOD_GuardTower,0,WOD_Guardtower_01,639,416,107,21,639.8359375,-416.8359375
WOD_Ruins,0,WOD_Ruins_06,641,416,21,107,641.1640625,-416.1640625
WOD_Ruins,0,WOD_Ruins_05,648,416,21,21,648.1640625,-416.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,653,416,58,21,653.5,-416.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,647,417,64,107,647.5,-417.1640625
WOD_Ruins,0,WOD_Ruins_06,654,417,64,21,654.5,-417.8359375
WOD_Ruins,0,WOD_Ruins_03,655,417,56,64,655.5,-417.5
WOD_Ruins,0,WOD_Ruins_02,637,418,107,64,637.8359375,-418.5
WOD_BanditCamp,0,WOD_BanditCamp_06,653,418,21,21,653.1640625,-418.8359375
WOD_BanditCamp,0,WOD_BanditCamp_02,641,419,21,107,641.1640625,-419.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,633,420,21,21,633.1640625,-420.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,648,420,21,64,648.1640625,-420.5
WOD_Ruins,0,WOD_Ruins_03,649,420,21,21,649.1640625,-420.8359375
WOD_Ruins,0,WOD_Ruins_05,636,421,21,107,636.1640625,-421.1640625
WOD_BanditCamp,0,WOD_BanditCamp_08,655,421,107,107,655.8359375,-421.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_02,635,422,107,21,635.8359375,-422.8359375
WOD_Ruins,0,WOD_Ruins_03,641,423,107,107,641.8359375,-423.1640625
WOD_Ruins,0,WOD_Ruins_03,636,424,107,64,636.8359375,-424.5
WOD_BanditCamp,0,WOD_BanditCamp_04,642,424,64,21,642.5,-424.8359375
WOD_Ruins,0,WOD_Ruins_02,643,424,107,64,643.8359375,-424.5
WOD_BanditCamp,0,WOD_BanditCamp_08,645,424,69,64,645.5,-424.5
WOD_Ruins,0,WOD_Ruins_01,649,425,107,68,649.8359375,-425.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_04,649,425,21,66,649.1640625,-425.5
WOD_Ruins,0,WOD_Ruins_06,647,427,21,107,647.1640625,-427.1640625
WOD_Ruins,0,WOD_Ruins_02,654,427,21,112,654.1640625,-427.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,658,427,21,107,658.1640625,-427.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,646,428,64,60,646.5,-428.5
WOD_BanditCamp,0,WOD_BanditCamp_05,654,428,107,107,654.8359375,-428.1640625
WOD_Ruins,0,WOD_Ruins_04,664,429,21,64,664.1640625,-429.5
WOD_Ruins,0,WOD_Ruins_01,650,430,64,107,650.5,-430.1640625
WOD_BanditFort,0,WOD_BanditFort_01,663,431,21,21,663.1640625,-431.8359375
WOD_Ruins,0,WOD_Ruins_02,638,432,107,64,638.8359375,-432.5
WOD_BanditCamp,0,WOD_BanditCamp_08,654,432,21,29,654.1640625,-432.8359375
WOD_Ruins,0,WOD_Ruins_05,659,432,21,21,659.1640625,-432.8359375
WOD_Ruins,0,WOD_Ruins_02,648,433,21,64,648.1640625,-433.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_05,653,433,107,110,653.8359375,-433.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,660,433,64,107,660.5,-433.1640625
WOD_GuardTower,0,WOD_Guardtower_01,661,433,21,21,661.1640625,-433.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,663,433,107,107,663.8359375,-433.1640625
WOD_GuardTower,0,WOD_Guardtower_01,667,433,64,66,667.5,-433.5
WOD_GuardTower,0,WOD_Guardtower_01,667,433,107,68,667.8359375,-433.5
WOD_BanditCamp,0,WOD_BanditCamp_07,644,434,21,107,644.1640625,-434.1640625
WOD_Ruins,0,WOD_Ruins_02,646,434,21,64,646.1640625,-434.5
WOD_BanditCamp,0,WOD_BanditCamp_09,658,434,21,30,658.1640625,-434.8359375
WOD_Ruins,0,WOD_Ruins_02,662,434,64,107,662.5,-434.1640625
WOD_Ruins,0,WOD_Ruins_03,664,434,21,64,664.1640625,-434.5
WOD_BanditCamp,0,WOD_BanditCamp_05,652,435,64,107,652.5,-435.1640625
WOD_Ruins,0,WOD_Ruins_03,652,435,107,21,652.8359375,-435.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,655,435,64,21,655.5,-435.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_01,657,435,64,68,657.5,-435.5
WOD_BanditCamp,0,WOD_BanditCamp_09,667,435,64,21,667.5,-435.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_05,650,436,107,110,650.8359375,-436.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,652,436,107,27,652.8359375,-436.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,655,437,64,107,655.5,-437.1640625
WOD_Ruins,0,WOD_Ruins_04,655,437,107,21,655.8359375,-437.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_04,648,438,21,24,648.1640625,-438.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,654,438,21,110,654.1640625,-438.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,658,438,107,59,658.8359375,-438.5
WOD_Ruins,0,WOD_Ruins_06,659,438,64,56,659.5,-438.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_08,668,438,107,64,668.8359375,-438.5
WOD_Ruins,0,WOD_Ruins_02,657,439,107,107,657.8359375,-439.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,662,439,64,67,662.5,-439.5
WOD_Ruins,0,WOD_Ruins_04,663,439,107,26,663.8359375,-439.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,663,439,21,57,663.1640625,-439.5
WOD_BanditCamp,0,WOD_BanditCamp_01,646,440,64,21,646.5,-440.8359375
WOD_Ruins,0,WOD_Ruins_03,659,440,21,64,659.1640625,-440.5
WOD_BanditCamp,0,WOD_BanditCamp_02,645,441,21,21,645.1640625,-441.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,645,441,107,107,645.8359375,-441.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_04,650,441,64,107,650.5,-441.1640625
WOD_Ruins,0,WOD_Ruins_04,648,442,107,107,648.8359375,-442.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,652,442,64,21,652.5,-442.8359375
WOD_Ruins,0,WOD_Ruins_05,652,443,107,107,652.8359375,-443.1640625
WOD_Ruins,0,WOD_Ruins_04,652,446,21,64,652.1640625,-446.5
WOD_Ruins,0,WOD_Ruins_02,652,446,107,21,652.8359375,-446.8359375
