name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-62,653,442,1,76,Santaki,653.0078125,-442.40625,9,,0.5,0.38902195
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-108,649,438,3,1,Santaki,649.0234375,-438.9921875,9,,0.5,0.41857275
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-119,646,433,78,1,Santaki,646.609375,-433.9921875,9,,0.5,0.41711
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-87,644,433,64,120,Santaki,644.5,-433.0625,9,,0.5,0.4054232
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-136,653,435,79,101,Santaki,653.6171875,-435.2109375,9,,0.5,0.45763855
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,63,650,440,60,12,Santaki,650.46875,-440.90625,9,,0.5,0.419555
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,79,646,434,100,27,Santaki,646.78125,-434.7890625,9,,0.5,0.43374185
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-165,646,431,45,109,Santaki,646.3515625,-431.1484375,9,,0.5,0.48775425
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,149,642,436,55,10,Santaki,642.4296875,-436.921875,9,,0.5,0.49406975
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-72,652,441,105,22,Santaki,652.8203125,-441.828125,9,,0.5,0.4698248
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,15,645,436,0,15,Santaki,645.0,-436.8828125,9,,0.5,0.39911755
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-8,650,439,23,88,Santaki,650.1796875,-439.3125,9,,0.5,0.37990815
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,76,654,445,58,51,Santaki,654.453125,-445.6015625,9,,0.5,0.48913135
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,40,648,432,97,118,Santaki,648.7578125,-432.078125,9,,0.5,0.38745095
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-19,657,442,87,91,Santaki,657.6796875,-442.2890625,9,,0.5,0.46189195
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-101,652,434,13,91,Santaki,652.1015625,-434.2890625,9,,0.5,0.4367706
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-95,656,444,72,77,Santaki,656.5625,-444.3984375,9,,0.5,0.42294755
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-2,649,432,46,61,Santaki,649.359375,-432.5234375,9,,0.5,0.44585005
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,175,656,441,108,74,Santaki,656.84375,-441.421875,9,,0.5,0.40808035
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-110,651,446,84,91,Santaki,651.65625,-446.2890625,9,,0.5,0.4819597
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-160,642,436,52,44,Santaki,642.40625,-436.65625,9,,0.5,0.4001268
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-100,660,442,31,96,Santaki,660.2421875,-442.25,9,,0.5,0.4493476
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,103,656,442,69,108,Santaki,656.5390625,-442.15625,9,,0.5,0.420154
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-43,651,436,113,37,Santaki,651.8828125,-436.7109375,9,,0.5,0.46747425
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,41,644,433,77,19,Santaki,644.6015625,-433.8515625,9,,0.5,0.4816803
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,123,653,435,60,122,Santaki,653.46875,-435.046875,9,,0.5,0.407485
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,166,643,437,59,84,Santaki,643.4609375,-437.34375,9,,0.5,0.46784515
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,91,659,441,127,13,Santaki,659.9921875,-441.8984375,9,,0.5,0.38435105
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-131,644,432,72,8,Santaki,644.5625,-432.9375,9,,0.5,0.42137645
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,146,657,441,41,69,Santaki,657.3203125,-441.4609375,9,,0.5,0.42170705
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,22,645,434,28,24,Santaki,645.21875,-434.8125,9,,0.5,0.48110995
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,60,660,442,88,110,Santaki,660.6875,-442.140625,9,,0.5,0.45557775
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,109,644,432,78,9,Santaki,644.609375,-432.9296875,9,,0.5,0.47243315
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,52,643,437,31,123,Santaki,643.2421875,-437.0390625,9,,0.5,0.47956695
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-28,647,431,101,118,Santaki,647.7890625,-431.078125,9,,0.5,0.4358048
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,176,653,439,50,55,Santaki,653.390625,-439.5703125,9,,0.5,0.47905775
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,93,648,434,95,6,Santaki,648.7421875,-434.953125,9,,0.5,0.46877615
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-86,651,433,84,49,Santaki,651.65625,-433.6171875,9,,0.5,0.4659801
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,90,645,432,87,81,Santaki,645.6796875,-432.3671875,9,,0.5,0.40363075
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,106,649,434,95,110,Santaki,649.7421875,-434.140625,9,,0.5,0.39175895
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-55,645,436,105,26,Santaki,645.8203125,-436.796875,9,,0.5,0.4361515
