name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Shrine of Dibella,0,WOD_Shrine_Dibella_01,654,442,114,17,65411444217,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,640,422,17,5,6401742205,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,641,425,55,79,6415542579,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,634,415,19,122,63419415122,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,661,433,72,113,66172433113,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,658,422,19,106,65819422106,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,646,413,108,32,64610841332,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,659,434,55,9,6595543409,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,636,424,101,59,63610142459,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,639,432,35,15,6393543215,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,644,418,47,51,6444741851,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,654,431,109,76,65410943176,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,663,439,119,5,66311943905,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,654,427,40,47,6544042747,Santaki
Shrine of Dibella,0,WOD_Shrine_Dibella_01,658,438,22,83,6582243883,Santaki
