name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_03,841,295,119,54,84111929554,Satakalaam,841.9296875,-295.578125
Bandit Fort,0,WOD_BanditFort_02,858,283,87,35,8588728335,Satakalaam,858.6796875,-283.7265625
Bandit Camp,0,WOD_BanditCamp_01,863,281,110,37,86311028137,Satakalaam,863.859375,-281.7109375
Bandit Camp,0,WOD_BanditCamp_05,790,297,87,17,7908729717,Satakalaam,790.6796875,-297.8671875
Bandit Camp,0,WOD_BanditCamp_01,804,295,41,42,8044129542,Satakalaam,804.3203125,-295.671875
Bandit Fort,0,WOD_BanditFort_01,844,278,59,6,8445927806,Satakalaam,844.4609375,-278.953125
Bandit Camp,0,WOD_BanditCamp_02,796,287,92,38,7969228738,Satakalaam,796.71875,-287.703125
Bandit Fort,0,WOD_BanditFort_03,852,314,47,78,8524731478,Satakalaam,852.3671875,-314.390625
Bandit Camp,0,WOD_BanditCamp_03,823,316,78,78,8237831678,Satakalaam,823.609375,-316.390625
Bandit Fort,0,WOD_BanditFort_01,831,264,47,70,8314726470,Satakalaam,831.3671875,-264.453125
Bandit Camp,0,WOD_BanditCamp_06,859,282,5,36,8590528236,Satakalaam,859.0390625,-282.71875
Bandit Camp,0,WOD_BanditCamp_02,864,281,10,90,8641028190,Satakalaam,864.078125,-281.296875
Bandit Fort,0,WOD_BanditFort_01,822,278,41,95,8224127895,Satakalaam,822.3203125,-278.2578125
Bandit Camp,0,WOD_BanditCamp_05,781,293,111,44,78111129344,Satakalaam,781.8671875,-293.65625
Bandit Camp,0,WOD_BanditCamp_05,859,298,91,120,85991298120,Satakalaam,859.7109375,-298.0625
Bandit Fort,0,WOD_BanditFort_02,859,296,40,36,8594029636,Satakalaam,859.3125,-296.71875
