name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,125,810,300,70,118,Satakalaam,810.546875,-300.078125,5,4.0,0.5,0.9036977
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,124,806,284,116,77,Satakalaam,806.90625,-284.3984375,5,4.0,0.5,0.9529836
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,68,802,302,3,16,Satakalaam,802.0234375,-302.875,5,4.0,0.5,0.9682487
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,79,777,301,120,117,Satakalaam,777.9375,-301.0859375,5,4.0,0.5,0.9917074
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-5,828,309,4,12,Satakalaam,828.03125,-309.90625,5,4.0,0.5,0.9064355
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-131,793,304,86,81,Satakalaam,793.671875,-304.3671875,5,4.0,0.5,0.7570124
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-74,807,284,82,18,Satakalaam,807.640625,-284.859375,5,4.0,0.5,0.9783137
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-117,813,298,63,94,Satakalaam,813.4921875,-298.265625,5,4.0,0.5,0.9350536
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,139,799,283,93,107,Satakalaam,799.7265625,-283.1640625,5,4.0,0.5,0.92354
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-144,813,304,63,49,Satakalaam,813.4921875,-304.6171875,5,4.0,0.5,0.8169307
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,86,786,287,23,67,Satakalaam,786.1796875,-287.4765625,5,4.0,0.5,0.8943933
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,24,799,284,82,64,Satakalaam,799.640625,-284.5,5,4.0,0.5,0.9348418
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-130,785,302,127,98,Satakalaam,785.9921875,-302.234375,5,4.0,0.5,0.9936063
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,165,803,279,93,108,Satakalaam,803.7265625,-279.15625,5,4.0,0.5,0.863656
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,102,802,293,90,32,Satakalaam,802.703125,-293.75,5,4.0,0.5,0.9014951
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-48,794,298,40,36,Satakalaam,794.3125,-298.71875,5,4.0,0.5,0.7740731
