name,type,prefab,worldX,worldY,terrainX,terrainY,gisX,gisY
WOD_Ruins,0,WOD_Ruins_01,405,325,107,68,405.8359375,-325.5
WOD_Ruins,0,WOD_Ruins_04,407,325,107,21,407.8359375,-325.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,402,326,21,107,402.1640625,-326.1640625
WOD_Ruins,0,WOD_Ruins_05,406,328,107,59,406.8359375,-328.5
WOD_BanditCamp,0,WOD_BanditCamp_03,391,342,107,21,391.8359375,-342.8359375
WOD_GuardTower,0,WOD_Guardtower_01,394,342,21,111,394.1640625,-342.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,394,342,107,24,394.8359375,-342.8359375
WOD_Ruins,0,WOD_Ruins_06,394,342,107,64,394.8359375,-342.5
WOD_Ruins,0,WOD_Ruins_02,385,343,107,107,385.8359375,-343.1640625
WOD_BanditCamp,0,WOD_BanditCamp_08,390,343,107,107,390.8359375,-343.1640625
WOD_BanditCamp,0,WOD_BanditCamp_03,391,343,21,21,391.1640625,-343.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,395,343,64,107,395.5,-343.1640625
WOD_GuardTower,0,WOD_Guardtower_01,396,343,21,68,396.1640625,-343.5
WOD_BanditCamp,0,WOD_BanditCamp_07,401,343,107,64,401.8359375,-343.5
WOD_Ruins,0,WOD_Ruins_03,383,344,64,107,383.5,-344.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_07,387,344,21,62,387.1640625,-344.5
WOD_GuardTower,0,WOD_Guardtower_01,387,344,64,21,387.5,-344.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,392,344,21,64,392.1640625,-344.5
WOD_BanditFort,0,WOD_BanditFort_01,399,344,64,107,399.5,-344.1640625
WOD_Ruins,0,WOD_Ruins_06,377,345,21,21,377.1640625,-345.8359375
WOD_Ruins,0,WOD_Ruins_01,379,345,21,107,379.1640625,-345.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_04,383,345,21,24,383.1640625,-345.8359375
WOD_Ruins,0,WOD_Ruins_02,385,345,21,107,385.1640625,-345.1640625
WOD_BanditCamp,0,WOD_BanditCamp_08,386,345,21,21,386.1640625,-345.8359375
WOD_Ruins,0,WOD_Ruins_02,388,345,64,107,388.5,-345.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,393,345,64,74,393.5,-345.5
WOD_BanditCamp,0,WOD_BanditCamp_05,397,345,107,21,397.8359375,-345.8359375
WOD_BanditCamp,0,WOD_BanditCamp_06,377,346,64,67,377.5,-346.5
WOD_BanditCamp,0,WOD_BanditCamp_08,378,346,107,58,378.8359375,-346.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_04,381,346,64,66,381.5,-346.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_01,392,346,64,21,392.5,-346.8359375
WOD_Ruins,0,WOD_Ruins_06,398,346,21,64,398.1640625,-346.5
WOD_Ruins,0,WOD_Ruins_04,398,346,107,107,398.8359375,-346.1640625
WOD_GuardTower,0,WOD_Guardtower_01,375,347,107,111,375.8359375,-347.1640625
WOD_Ruins,0,WOD_Ruins_06,381,347,107,21,381.8359375,-347.8359375
WOD_Ruins,0,WOD_Ruins_02,381,347,107,64,381.8359375,-347.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_08,389,347,64,68,389.5,-347.5
WOD_Ruins,0,WOD_Ruins_02,390,347,64,21,390.5,-347.8359375
WOD_OrcCamp,0,WOD_OrcCamp_Small_03,372,348,107,21,372.8359375,-348.8359375
WOD_Ruins,0,WOD_Ruins_05,373,348,107,69,373.8359375,-348.5
WOD_BanditCamp,0,WOD_BanditCamp_04,373,348,21,71,373.1640625,-348.5
WOD_Ruins,0,WOD_Ruins_03,373,348,64,107,373.5,-348.1640625
WOD_Ruins,0,WOD_Ruins_06,379,348,107,107,379.8359375,-348.1640625
WOD_Ruins,0,WOD_Ruins_03,381,348,59,107,381.5,-348.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_01,388,348,21,62,388.1640625,-348.5
WOD_Ruins,0,WOD_Ruins_04,390,348,107,107,390.8359375,-348.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_01,391,348,21,64,391.1640625,-348.5
WOD_GuardTower,0,WOD_Guardtower_01,391,348,67,107,391.5,-348.1640625
WOD_GuardTower,0,WOD_Guardtower_01,396,348,107,64,396.8359375,-348.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_01,396,348,107,110,396.8359375,-348.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,374,349,21,21,374.1640625,-349.8359375
WOD_Ruins,0,WOD_Ruins_01,374,349,21,107,374.1640625,-349.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,376,349,21,107,376.1640625,-349.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,379,349,64,21,379.5,-349.8359375
WOD_GuardTower,0,WOD_Guardtower_01,381,349,64,21,381.5,-349.8359375
WOD_GuardTower,0,WOD_Guardtower_01,381,349,107,25,381.8359375,-349.8359375
WOD_GuardTower,0,WOD_Guardtower_01,381,349,107,107,381.8359375,-349.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_02,391,349,62,64,391.5,-349.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_02,391,349,66,21,391.5,-349.8359375
WOD_Ruins,0,WOD_Ruins_03,394,349,64,21,394.5,-349.8359375
WOD_GuardTower,0,WOD_Guardtower_01,372,350,21,60,372.1640625,-350.5
WOD_BanditCamp,0,WOD_BanditCamp_01,374,350,64,107,374.5,-350.1640625
WOD_GuardTower,0,WOD_Guardtower_01,375,350,107,25,375.8359375,-350.8359375
WOD_Ruins,0,WOD_Ruins_05,376,350,21,64,376.1640625,-350.5
WOD_BanditCamp,0,WOD_BanditCamp_03,376,350,64,107,376.5,-350.1640625
WOD_Ruins,0,WOD_Ruins_02,378,350,21,107,378.1640625,-350.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,378,350,64,107,378.5,-350.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_04,380,350,66,21,380.5,-350.8359375
WOD_Shrine,0,WOD_Shrine_Dibella_01,382,350,21,112,382.1640625,-350.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_05,383,350,21,66,383.1640625,-350.5
WOD_OrcCamp,0,WOD_OrcCamp_Medium_03,385,350,107,52,385.8359375,-350.5
WOD_BanditFort,0,WOD_BanditFort_01,386,350,64,107,386.5,-350.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,386,350,107,64,386.8359375,-350.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,391,350,64,60,391.5,-350.5
WOD_GuardTower,0,WOD_Guardtower_01,391,350,107,25,391.8359375,-350.8359375
WOD_Ruins,0,WOD_Ruins_06,394,350,21,64,394.1640625,-350.5
WOD_BanditCamp,0,WOD_BanditCamp_03,395,350,21,107,395.1640625,-350.1640625
WOD_GuardTower,0,WOD_Guardtower_01,370,351,62,64,370.5,-351.5
WOD_Ruins,0,WOD_Ruins_03,370,351,21,107,370.1640625,-351.1640625
WOD_Ruins,0,WOD_Ruins_01,370,351,70,21,370.5,-351.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,377,351,21,21,377.1640625,-351.8359375
WOD_GuardTower,0,WOD_Guardtower_01,378,351,107,68,378.8359375,-351.5
WOD_Ruins,0,WOD_Ruins_01,380,351,107,64,380.8359375,-351.5
WOD_BanditCamp,0,WOD_BanditCamp_09,384,351,64,21,384.5,-351.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_06,388,351,21,24,388.1640625,-351.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_05,389,351,64,66,389.5,-351.5
WOD_GuardTower,0,WOD_Guardtower_01,390,351,107,111,390.8359375,-351.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,393,351,64,56,393.5,-351.5
WOD_BanditCamp,0,WOD_BanditCamp_09,394,351,107,21,394.8359375,-351.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,369,352,21,64,369.1640625,-352.5
WOD_Ruins,0,WOD_Ruins_03,369,352,107,107,369.8359375,-352.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,372,352,64,107,372.5,-352.1640625
