name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_06,-55,336,382,119,14,Sentinel,336.9296875,-382.890625,7,,0.5,0.4737977
Rocks,1,WOD_Rocks_Round_Small_01,161,318,391,52,52,Sentinel,318.40625,-391.59375,7,,0.5,0.3936867
Rocks,1,WOD_Rocks_Round_Small_08,55,368,359,116,83,Sentinel,368.90625,-359.3515625,7,,0.5,0.4564444
Rocks,1,WOD_Rocks_Round_Small_09,-24,357,375,127,81,Sentinel,357.9921875,-375.3671875,7,,0.5,0.37506985
Rocks,1,WOD_Rocks_Round_Small_06,-105,389,346,74,22,Sentinel,389.578125,-346.828125,7,,0.5,0.37857045
Rocks,1,WOD_Rocks_Round_Small_10,100,382,349,100,32,Sentinel,382.78125,-349.75,7,,0.5,0.46825935
Rocks,1,WOD_Rocks_Round_Small_10,-12,394,397,10,18,Sentinel,394.078125,-397.859375,7,,0.5,0.38441405
Rocks,1,WOD_Rocks_Round_Small_06,-102,309,388,13,3,Sentinel,309.1015625,-388.9765625,7,,0.5,0.47426145
Rocks,1,WOD_Rocks_Round_Small_07,-70,348,372,68,86,Sentinel,348.53125,-372.328125,7,,0.5,0.49901285
Rocks,1,WOD_Rocks_Round_Small_07,118,364,399,116,18,Sentinel,364.90625,-399.859375,7,,0.5,0.4200406
Rocks,1,WOD_Rocks_Round_Small_05,108,372,373,60,95,Sentinel,372.46875,-373.2578125,7,,0.5,0.3889473
Rocks,1,WOD_Rocks_Round_Small_09,-58,339,388,120,68,Sentinel,339.9375,-388.46875,7,,0.5,0.41033145
Rocks,1,WOD_Rocks_Round_Small_07,11,375,383,76,65,Sentinel,375.59375,-383.4921875,7,,0.5,0.4853043
Rocks,1,WOD_Rocks_Round_Small_10,159,335,385,101,0,Sentinel,335.7890625,-386.0,7,,0.5,0.45427535
Rocks,1,WOD_Rocks_Round_Small_08,-73,388,402,8,35,Sentinel,388.0625,-402.7265625,7,,0.5,0.46218785
