name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,339,392,102,81,33910239281,Sentinel,339.797,-392.3671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,403,418,69,46,4036941846,Sentinel,403.539,-418.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,403,418,64,45,4036441845,Sentinel,403.5,-418.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,428,415,79,63,4287941563,Sentinel,428.617,-415.5078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,428,411,24,49,4282441149,Sentinel,428.188,-411.6171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,361,358,97,18,3619735818,Sentinel,361.758,-358.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,365,399,76,46,3657639946,Sentinel,365.594,-399.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,413,410,19,4,4131941004,Sentinel,413.148,-410.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,387,398,119,38,38711939838,Sentinel,387.93,-398.703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,361,394,116,95,36111639495,Sentinel,361.906,-394.2578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,401,120,41,39212040141,Sentinel,392.938,-401.6796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,351,367,55,102,35155367102,Sentinel,351.43,-367.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,410,381,123,119,410123381119,Sentinel,410.961,-381.0703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,388,3,4,3670338804,Sentinel,367.023,-388.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,371,393,70,46,3717039346,Sentinel,371.547,-393.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,336,369,29,72,3362936972,Sentinel,336.227,-369.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,346,358,113,28,34611335828,Sentinel,346.883,-358.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,365,365,23,109,36523365109,Sentinel,365.18,-365.1484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,391,407,41,41,3914140741,Sentinel,391.32,-407.6796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,438,409,70,60,4387040960,Sentinel,438.547,-409.53125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,341,388,76,97,3417638897,Sentinel,341.594,-388.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,413,373,108,14,41310837314,Sentinel,413.844,-373.890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,348,404,118,104,348118404104,Sentinel,348.922,-404.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,370,390,88,108,37088390108,Sentinel,370.688,-390.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,399,13,93,3661339993,Sentinel,366.102,-399.2734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,326,376,61,69,3266137669,Sentinel,326.477,-376.4609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,337,404,20,116,33720404116,Sentinel,337.156,-404.09375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,405,372,3,28,4050337228,Sentinel,405.023,-372.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,325,383,38,93,3253838393,Sentinel,325.297,-383.2734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,335,388,108,122,335108388122,Sentinel,335.844,-388.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,371,401,33,67,3713340167,Sentinel,371.258,-401.4765625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,422,418,13,100,42213418100,Sentinel,422.102,-418.21875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,378,99,38,3679937838,Sentinel,367.773,-378.703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,375,26,105,36626375105,Sentinel,366.203,-375.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,340,375,3,67,3400337567,Sentinel,340.023,-375.4765625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,356,367,74,31,3567436731,Sentinel,356.578,-367.7578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,422,403,76,102,42276403102,Sentinel,422.594,-403.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,364,385,82,5,3648238505,Sentinel,364.641,-385.9609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,363,355,93,88,3639335588,Sentinel,363.727,-355.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,376,354,61,70,3766135470,Sentinel,376.477,-354.453125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,431,410,88,4,4318841004,Sentinel,431.688,-410.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,436,395,36,90,4363639590,Sentinel,436.281,-395.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,320,382,72,84,3207238284,Sentinel,320.563,-382.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,417,382,23,82,4172338282,Sentinel,417.18,-382.359375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,356,391,33,36,3563339136,Sentinel,356.258,-391.71875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,400,40,119,36640400119,Sentinel,366.313,-400.0703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,426,377,118,18,42611837718,Sentinel,426.922,-377.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,441,372,32,114,44132372114,Sentinel,441.25,-372.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,375,357,78,4,3757835704,Sentinel,375.609,-357.96875
