name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_05,313,175,28,92,3132817592,Shalgora,313.21875,-175.28125
Bandit Camp,0,WOD_BanditCamp_06,327,198,42,59,3274219859,Shalgora,327.328125,-198.5390625
Bandit Camp,0,WOD_BanditCamp_01,328,187,116,116,328116187116,Shalgora,328.90625,-187.09375
Bandit Fort,0,WOD_BanditFort_01,315,132,118,23,31511813223,Shalgora,315.921875,-132.8203125
Bandit Camp,0,WOD_BanditCamp_03,285,112,4,31,2850411231,Shalgora,285.03125,-112.7578125
Bandit Camp,0,WOD_BanditCamp_02,306,115,102,105,306102115105,Shalgora,306.796875,-115.1796875
Bandit Camp,0,WOD_BanditCamp_03,319,176,93,40,3199317640,Shalgora,319.7265625,-176.6875
Bandit Camp,0,WOD_BanditCamp_03,298,117,8,42,2980811742,Shalgora,298.0625,-117.671875
Bandit Camp,0,WOD_BanditCamp_06,330,200,60,27,3306020027,Shalgora,330.46875,-200.7890625
Bandit Camp,0,WOD_BanditCamp_03,327,196,110,81,32711019681,Shalgora,327.859375,-196.3671875
Bandit Fort,0,WOD_BanditFort_01,268,113,47,79,2684711379,Shalgora,268.3671875,-113.3828125
Bandit Camp,0,WOD_BanditCamp_06,319,197,106,28,31910619728,Shalgora,319.828125,-197.78125
Bandit Camp,0,WOD_BanditCamp_03,302,168,86,120,30286168120,Shalgora,302.671875,-168.0625
Bandit Camp,0,WOD_BanditCamp_02,323,158,95,78,3239515878,Shalgora,323.7421875,-158.390625
Bandit Fort,0,WOD_BanditFort_01,319,199,23,69,3192319969,Shalgora,319.1796875,-199.4609375
Bandit Fort,0,WOD_BanditFort_03,329,161,36,14,3293616114,Shalgora,329.28125,-161.890625
Bandit Camp,0,WOD_BanditCamp_05,290,139,28,113,29028139113,Shalgora,290.21875,-139.1171875
Bandit Camp,0,WOD_BanditCamp_03,319,166,58,114,31958166114,Shalgora,319.453125,-166.109375
Bandit Camp,0,WOD_BanditCamp_01,320,120,52,47,3205212047,Shalgora,320.40625,-120.6328125
Bandit Camp,0,WOD_BanditCamp_06,319,166,120,33,31912016633,Shalgora,319.9375,-166.7421875
Bandit Fort,0,WOD_BanditFort_01,319,117,55,38,3195511738,Shalgora,319.4296875,-117.703125
Bandit Fort,0,WOD_BanditFort_01,285,150,119,32,28511915032,Shalgora,285.9296875,-150.75
Bandit Camp,0,WOD_BanditCamp_01,319,117,87,23,3198711723,Shalgora,319.6796875,-117.8203125
