name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_BanditFort,0,WOD_BanditFort_01,310,100,64,21,3106410021,310.5,-100.8359375
WOD_Ruins,0,WOD_Ruins_06,315,100,107,21,31510710021,315.8359375,-100.8359375
WOD_Ruins,0,WOD_Ruins_05,316,100,64,21,3166410021,316.5,-100.8359375
WOD_Ruins,0,WOD_Ruins_01,325,100,107,21,32510710021,325.8359375,-100.8359375
WOD_Ruins,0,WOD_Ruins_01,328,100,64,21,3286410021,328.5,-100.8359375
WOD_BanditFort,0,WOD_BanditFort_01,330,100,57,14,3306410021,330.5,-100.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,334,100,107,107,334107100107,334.8359375,-100.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,337,100,68,111,33764100107,337.5,-100.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_04,337,100,107,21,33710710021,337.8359375,-100.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_04,342,100,21,21,3422110021,342.1640625,-100.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_04,342,100,107,21,34210710021,342.8359375,-100.8359375
WOD_Ruins,0,WOD_Ruins_05,303,101,107,107,303107101107,303.8359375,-101.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,309,101,110,21,30910710121,309.8359375,-101.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,311,101,64,21,3116410121,311.5,-101.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,318,101,117,97,318107101107,318.8359375,-101.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_04,318,101,18,21,3182110121,318.1640625,-101.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_04,318,101,107,21,31810710121,318.8359375,-101.8359375
WOD_Ruins,0,WOD_Ruins_06,320,101,107,21,32010710121,320.8359375,-101.8359375
WOD_Ruins,0,WOD_Ruins_05,330,101,21,21,3302110121,330.1640625,-101.8359375
WOD_Ruins,0,WOD_Ruins_03,330,101,71,13,3306410121,330.5,-101.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,331,101,64,107,33164101107,331.5,-101.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,332,101,21,64,3322110164,332.1640625,-101.5
WOD_BanditCamp,0,WOD_BanditCamp_05,300,102,64,107,30064102107,300.5,-102.1640625
WOD_BanditFort,0,WOD_BanditFort_01,303,102,21,107,30321102107,303.1640625,-102.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,305,102,21,21,3052110221,305.1640625,-102.8359375
WOD_GuardTower,0,WOD_Guardtower_01,310,102,68,69,3106410264,310.5,-102.5
