fid,name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
535,Orc Camp,0,WOD_OrcCamp_Small_03,329,197,65,69,3296519769,Shalgora,329.5078125,-197.4609375,1
537,Orc Camp,0,WOD_OrcCamp_Medium_02,329,196,55,32,3295519632,Shalgora,329.4296875,-196.75,1
1226,Orc Camp,0,WOD_OrcCamp_Small_01,319,182,109,79,31910918279,Shalgora,319.8515625,-182.3828125,1
1233,Orc Camp,0,WOD_OrcCamp_Small_01,323,154,122,46,32312215446,Shalgora,323.953125,-154.640625,1
1245,Orc Camp,0,WOD_OrcCamp_Medium_03,307,162,42,83,3072216283,Shalgora,307.171875,-162.3515625,1
1268,Orc Camp,0,WOD_OrcCamp_Small_01,338,186,91,67,3389118667,Shalgora,338.7109375,-186.4765625,1
1272,Orc Camp,0,WOD_OrcCamp_Medium_02,333,203,81,76,3338120376,Shalgora,333.6328125,-203.40625,1
1303,Orc Camp,0,WOD_OrcCamp_Small_01,316,196,60,24,3166019624,Shalgora,316.46875,-196.8125,1
1344,Orc Camp,0,WOD_OrcCamp_Large_01,312,165,24,83,3122416583,Shalgora,312.1875,-165.3515625,1
1369,Orc Camp,0,WOD_OrcCamp_Medium_01,345,115,58,109,34558115109,Shalgora,345.453125,-115.1484375,1
1392,Orc Camp,0,WOD_OrcCamp_Medium_03,322,203,43,74,3222620374,Shalgora,322.203125,-203.421875,1
1124,Orc Camp,0,WOD_OrcCamp_Medium_01,304,110,12,36,3040411036,Shalgora,304.03125,-110.71875,2
1136,Orc Camp,0,WOD_OrcCamp_Small_02,308,103,110,95,30811010395,Shalgora,308.859375,-103.2578125,2
1141,Orc Camp,0,WOD_OrcCamp_Large_01,314,104,18,45,3140510445,Shalgora,314.0390625,-104.6484375,2
1147,Orc Camp,0,WOD_OrcCamp_Medium_03,309,112,69,84,30969112127,Shalgora,309.5390625,-112.0078125,2
1173,Orc Camp,0,WOD_OrcCamp_Medium_01,324,103,32,108,32432103108,Shalgora,324.25,-103.15625,2
1176,Orc Camp,0,WOD_OrcCamp_Large_01,298,105,101,42,29810110542,Shalgora,298.7890625,-105.671875,2
1179,Orc Camp,0,WOD_OrcCamp_Small_03,271,112,14,99,2711411299,Shalgora,271.109375,-112.2265625,2
1180,Orc Camp,0,WOD_OrcCamp_Medium_01,297,103,76,23,2977610323,Shalgora,297.59375,-103.8203125,2
370,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,275,129,70,63,2757012963,Shalgora,275.546875,-129.5078125,3
371,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,273,130,106,74,27312213074,Shalgora,273.953125,-130.421875,3
372,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,274,131,122,120,274127131120,Shalgora,274.9921875,-131.0625,3
533,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,302,127,58,106,30258127106,Shalgora,302.453125,-127.171875,3
534,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,303,128,29,74,3032912874,Shalgora,303.2265625,-128.421875,3
