name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_04,316,127,99,60,3169912760,Shalgora,316.7734375,-127.53125
Ruins,0,WOD_Ruins_03,318,200,42,84,3184220084,Shalgora,318.328125,-200.34375
Ruins,0,WOD_Ruins_02,289,135,60,77,2896013577,Shalgora,289.46875,-135.3984375
Ruins,0,WOD_Ruins_06,333,104,88,5,3338810405,Shalgora,333.6875,-104.9609375
Ruins,0,WOD_Ruins_06,301,153,61,27,3016115327,Shalgora,301.4765625,-153.7890625
Ruins,0,WOD_Ruins_03,317,143,45,102,31745143102,Shalgora,317.3515625,-143.203125
Ruins,0,WOD_Ruins_05,302,126,104,26,30210412626,Shalgora,302.8125,-126.796875
Ruins,0,WOD_Ruins_02,287,149,122,55,28712214955,Shalgora,287.953125,-149.5703125
Ruins,0,WOD_Ruins_04,331,196,82,49,3318219649,Shalgora,331.640625,-196.6171875
Ruins,0,WOD_Ruins_02,327,119,36,59,3273611959,Shalgora,327.28125,-119.5390625
