name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Fort,0,WOD_BanditFort_01,578,332,77,37,5787733237,Tigonus,578.6015625,-332.7109375
Bandit Fort,0,WOD_BanditFort_03,572,356,91,108,57291356108,Tigonus,572.7109375,-356.15625
Bandit Camp,0,WOD_BanditCamp_06,576,349,119,81,57611934981,Tigonus,576.9296875,-349.3671875
Bandit Camp,0,WOD_BanditCamp_06,575,367,63,38,5756336738,Tigonus,575.4921875,-367.703125
Bandit Camp,0,WOD_BanditCamp_03,526,319,23,8,5262331908,Tigonus,526.1796875,-319.9375
Bandit Camp,0,WOD_BanditCamp_03,514,324,72,113,51472324113,Tigonus,514.5625,-324.1171875
Bandit Camp,0,WOD_BanditCamp_05,585,290,90,28,5859029028,Tigonus,585.703125,-290.78125
Bandit Fort,0,WOD_BanditFort_01,562,367,104,88,56210436788,Tigonus,562.8125,-367.3125
Bandit Fort,0,WOD_BanditFort_03,487,342,91,41,4879134241,Tigonus,487.7109375,-342.6796875
Bandit Camp,0,WOD_BanditCamp_03,604,380,29,118,60429380118,Tigonus,604.2265625,-380.078125
Bandit Camp,0,WOD_BanditCamp_03,537,359,73,19,5377335919,Tigonus,537.5703125,-359.8515625
Bandit Camp,0,WOD_BanditCamp_02,543,324,10,36,5431032436,Tigonus,543.078125,-324.71875
Bandit Fort,0,WOD_BanditFort_02,581,378,46,27,5814637827,Tigonus,581.359375,-378.7890625
Bandit Camp,0,WOD_BanditCamp_03,568,355,40,27,5684035527,Tigonus,568.3125,-355.7890625
Bandit Camp,0,WOD_BanditCamp_02,610,385,46,59,6104638559,Tigonus,610.359375,-385.5390625
Bandit Fort,0,WOD_BanditFort_03,508,350,38,88,5083835088,Tigonus,508.296875,-350.3125
Bandit Camp,0,WOD_BanditCamp_05,568,311,64,119,56864311119,Tigonus,568.5,-311.0703125
Bandit Camp,0,WOD_BanditCamp_06,586,292,108,96,58610829296,Tigonus,586.84375,-292.25
Bandit Camp,0,WOD_BanditCamp_01,590,342,14,111,59014342111,Tigonus,590.109375,-342.1328125
Bandit Camp,0,WOD_BanditCamp_06,502,345,124,14,50212434514,Tigonus,502.96875,-345.890625
Bandit Camp,0,WOD_BanditCamp_03,567,338,83,24,5678333824,Tigonus,567.6484375,-338.8125
Bandit Camp,0,WOD_BanditCamp_03,577,382,63,29,5776338229,Tigonus,577.4921875,-382.7734375
Bandit Camp,0,WOD_BanditCamp_03,605,366,87,55,6058736655,Tigonus,605.6796875,-366.5703125
Bandit Camp,0,WOD_BanditCamp_02,594,367,76,8,5947636708,Tigonus,594.59375,-367.9375
Bandit Fort,0,WOD_BanditFort_02,568,298,58,18,5685829818,Tigonus,568.453125,-298.859375
Bandit Fort,0,WOD_BanditFort_02,604,363,36,10,6043636310,Tigonus,604.28125,-363.921875
Bandit Camp,0,WOD_BanditCamp_02,563,362,20,29,5632036229,Tigonus,563.15625,-362.7734375
Bandit Fort,0,WOD_BanditFort_01,536,334,52,40,5365233440,Tigonus,536.40625,-334.6875
Bandit Camp,0,WOD_BanditCamp_05,529,323,88,73,5298832373,Tigonus,529.6875,-323.4296875
Bandit Camp,0,WOD_BanditCamp_05,496,346,61,90,4966134690,Tigonus,496.4765625,-346.296875
Bandit Camp,0,WOD_BanditCamp_02,492,339,91,118,49291339118,Tigonus,492.7109375,-339.078125
Bandit Camp,0,WOD_BanditCamp_03,561,316,50,97,5615031697,Tigonus,561.390625,-316.2421875
Bandit Camp,0,WOD_BanditCamp_01,591,277,90,4,5919027704,Tigonus,591.703125,-277.96875
Bandit Camp,0,WOD_BanditCamp_01,561,318,70,33,5617031833,Tigonus,561.546875,-318.7421875
Bandit Fort,0,WOD_BanditFort_01,539,345,83,82,5398334582,Tigonus,539.6484375,-345.359375
Bandit Camp,0,WOD_BanditCamp_06,562,328,100,20,56210032820,Tigonus,562.78125,-328.84375
Bandit Camp,0,WOD_BanditCamp_03,597,357,87,52,5978735752,Tigonus,597.6796875,-357.59375
Bandit Camp,0,WOD_BanditCamp_06,610,379,19,100,61019379100,Tigonus,610.1484375,-379.21875
Bandit Camp,0,WOD_BanditCamp_06,524,338,81,61,5248133861,Tigonus,524.6328125,-338.5234375
Bandit Camp,0,WOD_BanditCamp_02,526,334,120,73,52612033473,Tigonus,526.9375,-334.4296875
Bandit Fort,0,WOD_BanditFort_02,568,352,72,104,56872352104,Tigonus,568.5625,-352.1875
Bandit Fort,0,WOD_BanditFort_03,562,323,82,87,5628232387,Tigonus,562.640625,-323.3203125
Bandit Fort,0,WOD_BanditFort_03,561,343,50,51,5615034351,Tigonus,561.390625,-343.6015625
Bandit Fort,0,WOD_BanditFort_03,573,327,92,76,5739232776,Tigonus,573.71875,-327.40625
Bandit Camp,0,WOD_BanditCamp_05,589,288,36,73,5893628873,Tigonus,589.28125,-288.4296875
Bandit Fort,0,WOD_BanditFort_01,585,301,36,91,5853630191,Tigonus,585.28125,-301.2890625
Bandit Camp,0,WOD_BanditCamp_03,552,344,58,114,55258344114,Tigonus,552.453125,-344.109375
Bandit Fort,0,WOD_BanditFort_02,525,310,27,5,5252731005,Tigonus,525.2109375,-310.9609375
Bandit Camp,0,WOD_BanditCamp_02,590,348,110,56,59011034856,Tigonus,590.859375,-348.5625
Bandit Camp,0,WOD_BanditCamp_02,506,326,73,27,5067332627,Tigonus,506.5703125,-326.7890625
Bandit Camp,0,WOD_BanditCamp_03,587,364,100,74,58710036474,Tigonus,587.78125,-364.421875
Bandit Camp,0,WOD_BanditCamp_03,547,344,91,46,5479134446,Tigonus,547.7109375,-344.640625
Bandit Fort,0,WOD_BanditFort_01,550,349,68,76,5506834976,Tigonus,550.53125,-349.40625
Bandit Camp,0,WOD_BanditCamp_02,541,361,92,79,5419236179,Tigonus,541.71875,-361.3828125
Bandit Fort,0,WOD_BanditFort_02,587,291,54,118,58754291118,Tigonus,587.421875,-291.078125
Bandit Camp,0,WOD_BanditCamp_02,607,381,23,44,6072338144,Tigonus,607.1796875,-381.65625
Bandit Fort,0,WOD_BanditFort_03,571,372,102,59,57110237259,Tigonus,571.796875,-372.5390625
Bandit Camp,0,WOD_BanditCamp_06,525,325,56,29,5255632529,Tigonus,525.4375,-325.7734375
Bandit Fort,0,WOD_BanditFort_01,565,306,52,6,5655230606,Tigonus,565.40625,-306.953125
Bandit Camp,0,WOD_BanditCamp_01,535,350,74,91,5357435091,Tigonus,535.578125,-350.2890625
Bandit Camp,0,WOD_BanditCamp_06,536,346,70,120,53670346120,Tigonus,536.546875,-346.0625
Bandit Fort,0,WOD_BanditFort_02,595,365,36,31,5953636531,Tigonus,595.28125,-365.7578125
Bandit Camp,0,WOD_BanditCamp_03,585,333,15,45,5851533345,Tigonus,585.1171875,-333.6484375
Bandit Camp,0,WOD_BanditCamp_02,559,364,67,81,5596736481,Tigonus,559.5234375,-364.3671875
Bandit Fort,0,WOD_BanditFort_02,540,304,68,83,5406830483,Tigonus,540.53125,-304.3515625
Bandit Camp,0,WOD_BanditCamp_01,574,383,86,60,5748638360,Tigonus,574.671875,-383.53125
Bandit Camp,0,WOD_BanditCamp_03,484,360,35,88,4843536088,Tigonus,484.2734375,-360.3125
Bandit Fort,0,WOD_BanditFort_01,569,369,49,60,5694936960,Tigonus,569.3828125,-369.53125
Bandit Camp,0,WOD_BanditCamp_06,536,315,115,91,53611531591,Tigonus,536.8984375,-315.2890625
Bandit Fort,0,WOD_BanditFort_02,539,315,4,67,5390431567,Tigonus,539.03125,-315.4765625
Bandit Camp,0,WOD_BanditCamp_06,502,330,51,15,5025133015,Tigonus,502.3984375,-330.8828125
Bandit Fort,0,WOD_BanditFort_03,592,386,111,60,59211138660,Tigonus,592.8671875,-386.53125
Bandit Camp,0,WOD_BanditCamp_02,589,275,81,40,5898127540,Tigonus,589.6328125,-275.6875
Bandit Camp,0,WOD_BanditCamp_01,539,311,93,104,53993311104,Tigonus,539.7265625,-311.1875
Bandit Fort,0,WOD_BanditFort_01,585,275,46,31,5854627531,Tigonus,585.359375,-275.7578125
Bandit Camp,0,WOD_BanditCamp_06,494,354,70,74,4947035474,Tigonus,494.546875,-354.421875
Bandit Fort,0,WOD_BanditFort_02,505,327,58,23,5055832723,Tigonus,505.453125,-327.8203125
Bandit Camp,0,WOD_BanditCamp_05,579,304,115,114,579115304114,Tigonus,579.8984375,-304.109375
Bandit Fort,0,WOD_BanditFort_02,572,313,31,74,5723131374,Tigonus,572.2421875,-313.421875
Bandit Camp,0,WOD_BanditCamp_05,554,321,26,9,5542632109,Tigonus,554.203125,-321.9296875
Bandit Camp,0,WOD_BanditCamp_02,584,341,79,8,5847934108,Tigonus,584.6171875,-341.9375
Bandit Camp,0,WOD_BanditCamp_01,571,338,84,33,5718433833,Tigonus,571.65625,-338.7421875
Bandit Camp,0,WOD_BanditCamp_01,553,336,38,41,5533833641,Tigonus,553.296875,-336.6796875
Bandit Fort,0,WOD_BanditFort_01,555,364,67,78,5556736478,Tigonus,555.5234375,-364.390625
Bandit Camp,0,WOD_BanditCamp_01,588,373,106,49,58810637349,Tigonus,588.828125,-373.6171875
Bandit Fort,0,WOD_BanditFort_02,524,334,41,49,5244133449,Tigonus,524.3203125,-334.6171875
Bandit Fort,0,WOD_BanditFort_01,511,339,84,122,51184339122,Tigonus,511.65625,-339.046875
Bandit Fort,0,WOD_BanditFort_03,517,340,35,36,5173534036,Tigonus,517.2734375,-340.71875
Bandit Camp,0,WOD_BanditCamp_02,559,357,17,28,5591735728,Tigonus,559.1328125,-357.78125
Bandit Camp,0,WOD_BanditCamp_03,567,306,42,19,5674230619,Tigonus,567.328125,-306.8515625
Bandit Camp,0,WOD_BanditCamp_06,580,317,78,26,5807831726,Tigonus,580.609375,-317.796875
Bandit Camp,0,WOD_BanditCamp_06,594,386,28,36,5942838636,Tigonus,594.21875,-386.71875
