name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_03,527,311,8,110,52708311110,Tigonus,527.0625,-311.140625
Ruins,0,WOD_Ruins_02,592,370,41,123,59241370123,Tigonus,592.3203125,-370.0390625
Ruins,0,WOD_Ruins_04,587,289,1,42,5870128942,Tigonus,587.0078125,-289.671875
Ruins,0,WOD_Ruins_04,555,342,69,55,5556934255,Tigonus,555.5390625,-342.5703125
Ruins,0,WOD_Ruins_05,478,355,19,38,4781935538,Tigonus,478.1484375,-355.703125
Ruins,0,WOD_Ruins_06,549,307,44,63,5494430763,Tigonus,549.34375,-307.5078125
Ruins,0,WOD_Ruins_05,550,298,20,10,5502029810,Tigonus,550.15625,-298.921875
Ruins,0,WOD_Ruins_04,551,350,14,46,5511435046,Tigonus,551.109375,-350.640625
Ruins,0,WOD_Ruins_06,514,332,124,109,514124332109,Tigonus,514.96875,-332.1484375
Ruins,0,WOD_Ruins_06,550,357,63,69,5506335769,Tigonus,550.4921875,-357.4609375
Ruins,0,WOD_Ruins_01,512,340,119,61,51211934061,Tigonus,512.9296875,-340.5234375
Ruins,0,WOD_Ruins_03,588,344,116,79,58811634479,Tigonus,588.90625,-344.3828125
Ruins,0,WOD_Ruins_06,560,326,35,104,56035326104,Tigonus,560.2734375,-326.1875
Ruins,0,WOD_Ruins_05,489,346,29,77,4892934677,Tigonus,489.2265625,-346.3984375
Ruins,0,WOD_Ruins_01,575,318,17,38,5751731838,Tigonus,575.1328125,-318.703125
