name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Small_05,42,791,376,72,52,Totambu,791.5625,-376.59375,5.0,1,0.9914473
Foothills,1,WOD_Mountain_Small_06,-3,857,389,91,37,Totambu,857.7109375,-389.7109375,5.0,1,0.7013167
Foothills,1,WOD_Mountain_Small_03,114,751,374,22,115,Totambu,751.171875,-374.1015625,5.0,1,0.8425233
Foothills,1,WOD_Mountain_Small_01,6,914,395,123,120,Totambu,914.9609375,-395.0625,5.0,1,0.7834013
Foothills,1,WOD_Mountain_Small_01,57,929,391,49,24,Totambu,929.3828125,-391.8125,5.0,1,0.7892572
Foothills,1,WOD_Mountain_Small_04,-41,751,374,26,104,Totambu,751.203125,-374.1875,5.0,1,0.8327556
Foothills,1,WOD_Mountain_Small_07,-108,885,391,58,81,Totambu,885.453125,-391.3671875,5.0,1,0.6183401
Foothills,1,WOD_Mountain_Small_01,-42,903,394,87,6,Totambu,903.6796875,-394.953125,5.0,1,0.6312299
Foothills,1,WOD_Mountain_Small_02,-34,788,376,10,120,Totambu,788.078125,-376.0625,5.0,1,0.7821745
Foothills,1,WOD_Mountain_Small_01,81,890,392,124,28,Totambu,890.96875,-392.78125,5.0,1,0.7089583
Foothills,1,WOD_Mountain_Small_07,-85,886,391,104,68,Totambu,886.8125,-391.46875,5.0,1,0.7386227
Foothills,1,WOD_Mountain_Small_03,17,886,392,49,111,Totambu,886.3828125,-392.1328125,5.0,1,0.9905407
Foothills,1,WOD_Mountain_Small_02,-142,913,395,105,110,Totambu,913.8203125,-395.140625,5.0,1,0.7051342
Foothills,1,WOD_Mountain_Small_02,-21,790,376,19,65,Totambu,790.1484375,-376.4921875,5.0,1,0.7331635
Foothills,1,WOD_Mountain_Small_07,80,857,389,83,64,Totambu,857.6484375,-389.5,5.0,1,0.8345239
Foothills,1,WOD_Mountain_Small_03,-177,875,390,64,86,Totambu,875.5,-390.328125,5.0,1,0.6522262
Foothills,1,WOD_Mountain_Small_05,-82,856,388,12,79,Totambu,856.09375,-388.3828125,5.0,1,0.9267629
Foothills,1,WOD_Mountain_Small_02,53,857,389,18,8,Totambu,857.140625,-389.9375,5.0,1,0.7395653
Foothills,1,WOD_Mountain_Small_06,-49,754,374,123,100,Totambu,754.9609375,-374.21875,5.0,1,0.6502348
Foothills,1,WOD_Mountain_Small_02,-30,935,389,84,60,Totambu,935.65625,-389.53125,5.0,1,0.9539114
Foothills,1,WOD_Mountain_Small_06,-175,815,377,29,32,Totambu,815.2265625,-377.75,5.0,1,0.6818696
Foothills,1,WOD_Mountain_Small_05,-122,734,369,99,51,Totambu,734.7734375,-369.6015625,5.0,1,0.7551196
Foothills,1,WOD_Mountain_Small_01,-170,814,377,113,110,Totambu,814.8828125,-377.140625,5.0,1,0.7896524
Foothills,1,WOD_Mountain_Small_04,-43,893,394,5,58,Totambu,893.0390625,-394.546875,5.0,1,0.7230627
Foothills,1,WOD_Mountain_Small_07,-10,931,391,79,13,Totambu,931.6171875,-391.8984375,5.0,1,0.8559071
Foothills,1,WOD_Mountain_Small_06,-111,923,394,96,76,Totambu,923.75,-394.40625,5.0,1,0.6974213
Foothills,1,WOD_Mountain_Small_03,-78,738,373,5,35,Totambu,738.0390625,-373.7265625,5.0,1,0.6183011
Foothills,1,WOD_Mountain_Small_01,-127,875,390,18,8,Totambu,875.140625,-390.9375,5.0,1,0.9047555
Foothills,1,WOD_Mountain_Small_01,104,912,394,72,96,Totambu,912.5625,-394.25,5.0,1,0.7503889
Foothills,1,WOD_Mountain_Small_02,81,911,394,101,3,Totambu,911.7890625,-394.9765625,5.0,1,0.6097351
Foothills,1,WOD_Mountain_Small_07,11,883,392,74,68,Totambu,883.578125,-392.46875,5.0,1,0.6577457
Foothills,1,WOD_Mountain_Small_06,7,904,395,127,24,Totambu,904.9921875,-395.8125,5.0,1,0.8995152
