name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_05,835,366,13,108,83513366108,Totambu,835.1015625,-366.15625
Ruins,0,WOD_Ruins_02,813,329,3,45,8130332945,Totambu,813.0234375,-329.6484375
Ruins,0,WOD_Ruins_03,820,340,67,86,8206734086,Totambu,820.5234375,-340.328125
Ruins,0,WOD_Ruins_01,890,387,41,78,8904138778,Totambu,890.3203125,-387.390625
Ruins,0,WOD_Ruins_01,793,336,35,95,7933533695,Totambu,793.2734375,-336.2578125
Ruins,0,WOD_Ruins_01,878,356,100,52,87810035652,Totambu,878.78125,-356.59375
Ruins,0,WOD_Ruins_03,853,363,96,104,85396363104,Totambu,853.75,-363.1875
Ruins,0,WOD_Ruins_05,755,341,119,37,75511934137,Totambu,755.9296875,-341.7109375
Ruins,0,WOD_Ruins_06,901,341,47,72,9014734172,Totambu,901.3671875,-341.4375
Ruins,0,WOD_Ruins_02,801,354,50,110,80150354110,Totambu,801.390625,-354.140625
Ruins,0,WOD_Ruins_03,835,320,96,6,8359632006,Totambu,835.75,-320.953125
Ruins,0,WOD_Ruins_04,810,345,96,68,8109634568,Totambu,810.75,-345.46875
Ruins,0,WOD_Ruins_02,886,346,4,102,88604346102,Totambu,886.03125,-346.203125
Ruins,0,WOD_Ruins_05,921,340,49,40,9214934040,Totambu,921.3828125,-340.6875
Ruins,0,WOD_Ruins_03,742,373,120,36,74212037336,Totambu,742.9375,-373.71875
Ruins,0,WOD_Ruins_04,848,329,124,118,848124329118,Totambu,848.96875,-329.078125
Ruins,0,WOD_Ruins_02,918,354,26,65,9182635465,Totambu,918.203125,-354.4921875
Ruins,0,WOD_Ruins_04,784,328,13,76,7841332876,Totambu,784.1015625,-328.40625
Ruins,0,WOD_Ruins_06,924,339,102,120,924102339120,Totambu,924.796875,-339.0625
Ruins,0,WOD_Ruins_02,749,332,88,104,74988332104,Totambu,749.6875,-332.1875
Ruins,0,WOD_Ruins_05,869,370,28,29,8692837029,Totambu,869.21875,-370.7734375
Ruins,0,WOD_Ruins_04,728,363,90,49,7289036349,Totambu,728.703125,-363.6171875
Ruins,0,WOD_Ruins_06,776,358,38,28,7763835828,Totambu,776.296875,-358.78125
Ruins,0,WOD_Ruins_02,808,336,84,54,8088433654,Totambu,808.65625,-336.578125
Ruins,0,WOD_Ruins_02,914,363,120,5,91412036305,Totambu,914.9375,-363.9609375
Ruins,0,WOD_Ruins_05,937,349,113,113,937113349113,Totambu,937.8828125,-349.1171875
Ruins,0,WOD_Ruins_01,914,380,100,110,914100380110,Totambu,914.78125,-380.140625
Ruins,0,WOD_Ruins_03,825,323,32,20,8253232320,Totambu,825.25,-323.84375
Ruins,0,WOD_Ruins_05,799,356,15,59,7991535659,Totambu,799.1171875,-356.5390625
Ruins,0,WOD_Ruins_06,919,389,65,20,9196538920,Totambu,919.5078125,-389.84375
Ruins,0,WOD_Ruins_06,796,320,41,9,7964132009,Totambu,796.3203125,-320.9296875
Ruins,0,WOD_Ruins_03,868,363,26,59,8682636359,Totambu,868.203125,-363.5390625
Ruins,0,WOD_Ruins_05,869,359,114,20,86911435920,Totambu,869.890625,-359.84375
Ruins,0,WOD_Ruins_02,748,322,33,73,7483332273,Totambu,748.2578125,-322.4296875
Ruins,0,WOD_Ruins_01,904,354,46,47,9044635447,Totambu,904.359375,-354.6328125
Ruins,0,WOD_Ruins_02,894,364,6,83,8940636483,Totambu,894.046875,-364.3515625
Ruins,0,WOD_Ruins_06,853,343,50,6,8535034306,Totambu,853.390625,-343.953125
Ruins,0,WOD_Ruins_04,869,345,109,70,86910934570,Totambu,869.8515625,-345.453125
Ruins,0,WOD_Ruins_04,782,338,122,51,78212233851,Totambu,782.953125,-338.6015625
