name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_01,111,136,114,105,111114136105,Tulune,111.890625,-136.1796875
Bandit Camp,0,WOD_BanditCamp_01,81,115,27,9,812711509,Tulune,81.2109375,-115.9296875
Bandit Fort,0,WOD_BanditFort_01,88,126,96,100,8896126100,Tulune,88.75,-126.21875
Bandit Fort,0,WOD_BanditFort_01,81,102,37,78,813710278,Tulune,81.2890625,-102.390625
Bandit Camp,0,WOD_BanditCamp_06,121,150,124,65,12112415065,Tulune,121.96875,-150.4921875
Bandit Camp,0,WOD_BanditCamp_05,86,160,27,60,862716060,Tulune,86.2109375,-160.53125
Bandit Camp,0,WOD_BanditCamp_05,78,133,19,24,781913324,Tulune,78.1484375,-133.8125
Bandit Fort,0,WOD_BanditFort_01,100,103,22,110,10022103110,Tulune,100.171875,-103.140625
Bandit Camp,0,WOD_BanditCamp_03,120,137,104,120,120104137120,Tulune,120.8125,-137.0625
Bandit Fort,0,WOD_BanditFort_03,117,140,69,22,1176914022,Tulune,117.5390625,-140.828125
Bandit Camp,0,WOD_BanditCamp_06,112,116,10,41,1121011641,Tulune,112.078125,-116.6796875
Bandit Fort,0,WOD_BanditFort_01,77,151,111,31,7711115131,Tulune,77.8671875,-151.7578125
Bandit Fort,0,WOD_BanditFort_03,118,116,70,72,1187011672,Tulune,118.546875,-116.4375
Bandit Fort,0,WOD_BanditFort_02,116,149,109,37,11610914937,Tulune,116.8515625,-149.7109375
Bandit Fort,0,WOD_BanditFort_03,93,113,12,5,931211305,Tulune,93.09375,-113.9609375
Bandit Camp,0,WOD_BanditCamp_03,131,106,91,26,1319110626,Tulune,131.7109375,-106.796875
Bandit Fort,0,WOD_BanditFort_03,88,111,115,13,8811511113,Tulune,88.8984375,-111.8984375
Bandit Camp,0,WOD_BanditCamp_03,131,113,95,60,1319511360,Tulune,131.7421875,-113.53125
Bandit Camp,0,WOD_BanditCamp_01,135,111,22,38,1352211138,Tulune,135.171875,-111.703125
Bandit Camp,0,WOD_BanditCamp_06,109,130,87,17,1098713017,Tulune,109.6796875,-130.8671875
Bandit Camp,0,WOD_BanditCamp_05,113,109,100,41,11310010941,Tulune,113.78125,-109.6796875
Bandit Camp,0,WOD_BanditCamp_01,97,127,32,115,9732127115,Tulune,97.25,-127.1015625
Bandit Fort,0,WOD_BanditFort_02,68,130,8,99,680813099,Tulune,68.0625,-130.2265625
Bandit Camp,0,WOD_BanditCamp_02,113,122,70,91,1137012291,Tulune,113.546875,-122.2890625
Bandit Fort,0,WOD_BanditFort_02,114,136,58,83,1145813683,Tulune,114.453125,-136.3515625
Bandit Camp,0,WOD_BanditCamp_05,85,146,33,120,8533146120,Tulune,85.2578125,-146.0625
Bandit Camp,0,WOD_BanditCamp_06,71,132,59,28,715913228,Tulune,71.4609375,-132.78125
Bandit Fort,0,WOD_BanditFort_03,87,151,18,52,871815152,Tulune,87.140625,-151.59375
Bandit Camp,0,WOD_BanditCamp_02,88,153,119,40,8811915340,Tulune,88.9296875,-153.6875
Bandit Camp,0,WOD_BanditCamp_05,83,157,55,86,835515786,Tulune,83.4296875,-157.328125
Bandit Fort,0,WOD_BanditFort_01,78,119,87,60,788711960,Tulune,78.6796875,-119.53125
Bandit Camp,0,WOD_BanditCamp_02,102,122,42,5,1024212205,Tulune,102.328125,-122.9609375
Bandit Camp,0,WOD_BanditCamp_03,96,152,111,37,9611115237,Tulune,96.8671875,-152.7109375
Bandit Camp,0,WOD_BanditCamp_06,87,127,69,119,8769127119,Tulune,87.5390625,-127.0703125
Bandit Fort,0,WOD_BanditFort_02,81,125,79,49,817912549,Tulune,81.6171875,-125.6171875
Bandit Fort,0,WOD_BanditFort_03,93,117,31,35,933111735,Tulune,93.2421875,-117.7265625
Bandit Fort,0,WOD_BanditFort_02,83,154,74,20,837415420,Tulune,83.578125,-154.84375
Bandit Camp,0,WOD_BanditCamp_02,109,131,102,44,10910213144,Tulune,109.796875,-131.65625
