name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_01,424,100,123,69,42412310069,Urvaius,424.9609375,-100.4609375
Bandit Camp,0,WOD_BanditCamp_06,441,78,41,67,441417867,Urvaius,441.3203125,-78.4765625
Bandit Fort,0,WOD_BanditFort_01,449,110,101,114,449101110114,Urvaius,449.7890625,-110.109375
Bandit Fort,0,WOD_BanditFort_02,513,131,4,5,5130413105,Urvaius,513.03125,-131.9609375
Bandit Fort,0,WOD_BanditFort_02,438,51,60,38,438605138,Urvaius,438.46875,-51.703125
Bandit Camp,0,WOD_BanditCamp_03,419,107,87,23,4198710723,Urvaius,419.6796875,-107.8203125
Bandit Fort,0,WOD_BanditFort_01,431,114,45,35,4314511435,Urvaius,431.3515625,-114.7265625
Bandit Camp,0,WOD_BanditCamp_03,469,47,79,44,469794744,Urvaius,469.6171875,-47.65625
Bandit Fort,0,WOD_BanditFort_01,462,74,58,87,462587487,Urvaius,462.453125,-74.3203125
Bandit Fort,0,WOD_BanditFort_02,421,114,52,102,42152114102,Urvaius,421.40625,-114.203125
Bandit Camp,0,WOD_BanditCamp_06,451,104,18,81,4511810481,Urvaius,451.140625,-104.3671875
Bandit Camp,0,WOD_BanditCamp_02,480,65,47,19,480476519,Urvaius,480.3671875,-65.8515625
Bandit Fort,0,WOD_BanditFort_01,436,60,60,51,436606051,Urvaius,436.46875,-60.6015625
Bandit Camp,0,WOD_BanditCamp_03,425,101,114,70,42511410170,Urvaius,425.890625,-101.453125
Bandit Fort,0,WOD_BanditFort_03,473,117,65,22,4736511722,Urvaius,473.5078125,-117.828125
Bandit Camp,0,WOD_BanditCamp_05,420,114,52,17,4205211417,Urvaius,420.40625,-114.8671875
Bandit Fort,0,WOD_BanditFort_02,455,50,10,52,455105052,Urvaius,455.078125,-50.59375
Bandit Camp,0,WOD_BanditCamp_03,435,45,97,114,4359745114,Urvaius,435.7578125,-45.109375
Bandit Camp,0,WOD_BanditCamp_03,453,91,86,78,453869178,Urvaius,453.671875,-91.390625
Bandit Camp,0,WOD_BanditCamp_02,511,129,79,77,5117912977,Urvaius,511.6171875,-129.3984375
Bandit Fort,0,WOD_BanditFort_03,444,65,29,77,444296577,Urvaius,444.2265625,-65.3984375
Bandit Camp,0,WOD_BanditCamp_05,471,56,49,51,471495651,Urvaius,471.3828125,-56.6015625
Bandit Camp,0,WOD_BanditCamp_01,457,121,97,4,4579712104,Urvaius,457.7578125,-121.96875
