Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
The Mole and Giant Tavern,2.0,WOD_HF_Dock_Small_01,0.0,141,495,64,0,1415649561,Abibon-gora,141.4375,-495.5234375,7.0,Tavern
The Laughing Cat Hostel,2.0,WOD_Dock_Small_01,180.0,788,151,64,127,7886115158,Alcaire,788.4765625,-151.546875,4.0,Tavern
The Thirsty Skull Hostel,2.0,WOD_Dock_Small_01,180.0,646,113,64,127,6466111358,Bhoriane,646.4765625,-113.546875,1.0,Tavern
The Knave and Dragon Pub,2.0,WOD_Dock_Small_01,-90.0,132,210,0,64,1327021038,Daggerfall,132.546875,-210.703125,1.0,Tavern
The Queen's Cat Inn,2.0,WOD_Dock_Small_01,180.0,542,143,64,127,5426114365,Dwynnen,542.4765625,-143.4921875,1.0,Tavern
The Crimson Barbarian Pub,2.0,WOD_HF_Dock_Small_01,-45.0,644,279,127,0,6445827964,Lainlyn,644.453125,-279.5,4.0,Tavern
The Silver Hedgehog Pub,2.0,WOD_Dock_Small_01,-90.0,800,181,0,64,8006118173,Menevia,800.4765625,-181.4296875,1.0,Tavern
The Dirty Goat Inn,2.0,WOD_HF_Dock_Small_01,0.0,969,281,64,0,9696528163,Mournoth,969.5078125,-281.5078125,5.0,Tavern
The Rat and Priest Hostel,2.0,WOD_Dock_Small_01,0.0,224,5,64,0,224670569,Northmoor,224.5234375,-5.4609375,1.0,Tavern
The Mouse and Goblin Tavern,2.0,WOD_Dock_Small_01,0.0,222,5,64,0,222670569,Northmoor,222.5234375,-5.4609375,1.0,Tavern
The Feather and Dog Tavern,2.0,WOD_HF_Dock_Small_01,0.0,235,408,64,0,2355640861,Pothago,235.4375,-408.5234375,7.0,Tavern
The King's Dungeon Lodge,2.0,WOD_HF_Dock_Small_01,0.0,782,283,64,0,7826528363,Satakalaam,782.5078125,-283.5078125,5.0,Tavern
The Crimson Cat Inn,2.0,WOD_HF_Dock_Small_01,0.0,832,263,64,0,8325926369,Satakalaam,832.4609375,-263.4609375,5.0,Tavern
The Queen's Wolf Inn,2.0,WOD_HF_Dock_Small_01,90.0,387,353,127,64,3877635364,Sentinel,387.59375,-353.5,7.0,Tavern
The Dirty Mug Tavern,2.0,WOD_HF_Dock_Small_01,0.0,425,373,64,0,4256537363,Sentinel,425.5078125,-373.5078125,7.0,Tavern
The Red Cat Tavern,2.0,WOD_HF_Dock_Small_01,0.0,569,294,64,0,5696529463,Tigonus,569.5078125,-294.5078125,6.0,Tavern
The Thirsty Sword Tavern,2.0,WOD_HF_Dock_Small_01,0.0,521,309,64,0,5216530963,Tigonus,521.5078125,-309.5078125,6.0,Tavern
The Rat and Barbarian Tavern,2.0,WOD_HF_Dock_Small_01,0.0,524,308,64,0,5246530863,Tigonus,524.5078125,-308.5078125,6.0,Tavern
The Laughing Porcupine Pub,2.0,WOD_Dock_Small_01,-90.0,876,255,0,64,8766125573,Wayrest,876.4765625,-255.4296875,1.0,Tavern
The Lion and Castle Tavern,2.0,WOD_Dock_Small_01,-45.0,902,264,127,0,9026726463,Wayrest,902.5234375,-264.5078125,1.0,Tavern
The Rusty Goblin Hostel,2.0,WOD_Dock_Small_01,90.0,544,137,127,64,5447013774,Dwynnen,544.546875,-137.421875,1.0,Tavern
The Rusty Bird Tavern,2.0,WOD_Dock_Small_01,90.0,835,276,127,64,8355627658,Satakalaam,835.4375,-276.546875,5.0,Tavern
The Dwarf and Goat Hostel,,nan,,212,96,64,61,212649661,Glenpoint,212.5,-96.5234375,3.0,Tavern
The Unfortunate Guard Tavern,,nan,,912,338,68,72,9126833872,Totambu,912.53125,-338.4375,5.0,Tavern
The Knave and Stag Hostel,,nan,,915,363,67,67,9156736367,Totambu,915.5234375,-363.4765625,5.0,Tavern
The Fox and Hedgehog Lodge,,nan,,881,381,67,70,8816738170,Totambu,881.5234375,-381.453125,5.0,Tavern
The Queen's Goblin Hostel,,nan,,515,334,64,61,5156433461,Tigonus,515.5,-334.5234375,6.0,Tavern
