name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Ripmore,,,,285,213,64,0,2855421367,Daggerfall,285.421875,-213.4765625,1,TownCity
Tulune,,,,73,123,69,58,736912358,Tulune,73.5390625,-123.546875,1,TownCity
Glenumbra,,,,137,83,60,63,137608363,Glenumbra Moors,137.46875,-83.5078125,1,TownCity
Glenpoint,,,,167,109,64,63,1676410963,Glenpoint,167.5,-109.5078125,3,TownCity
Ilessan Hills,,,,218,86,60,67,218608667,Ilessan Hills,218.46875,-86.4765625,3,TownCity
Northmoor,,,,219,49,63,70,219634970,Northmoor,219.4921875,-49.453125,1,TownCity
Ykalon,,,,347,29,63,72,347632972,Ykalon,347.4921875,-29.4375,1,TownCity
Phrygias,,,,449,35,59,59,449593559,Phrygias,449.4609375,-35.5390625,1,TownCity
Kambria,,,,637,56,68,63,637685663,Kambria,637.53125,-56.5078125,4,TownCity
Wrothgaria,,,,763,22,69,60,763692260,Wrothgarian Mountains,763.5390625,-22.53125,4,TownCity
Alcaire,,,,707,112,69,64,7076911264,Alcaire,707.5390625,-112.5,1,TownCity
Koegria,,,,668,83,65,73,668658373,Koegria,668.5078125,-83.4296875,1,TownCity
Gavaudon,,,,966,217,58,68,9665821768,Gavaudon,966.453125,-217.46875,3,TownCity
Menevia,,,,807,187,77,68,8077718768,Menevia,807.6015625,-187.46875,1,TownCity
Bhoriane,,,,573,118,56,69,5735611869,Bhoriane,573.4375,-118.4609375,1,TownCity
Dwynnen,,,,496,86,61,56,496618656,Dwynnen,496.4765625,-86.5625,1,TownCity
Urvaius,,,,449,129,67,63,4496712963,Urvaius,449.5234375,-129.5078125,1,TownCity
Anticlere,,,,357,168,70,68,3577016868,Anticlere,357.546875,-168.46875,1,TownCity
Shalgora,,,,305,160,52,79,3055216079,Shalgora,305.40625,-160.3828125,1,TownCity
Daenia,,,,406,69,56,64,406566964,Daenia,406.4375,-69.5,1,TownCity
Dragontail,,,,856,485,60,58,8566048558,Dragontail Mountains,856.46875,-485.546875,4,TownCity
Ephesus,,,,891,469,64,76,8916446976,Ephesus,891.5,-469.40625,4,TownCity
Kozanset,,,,704,337,69,63,7046933763,Kozanset,704.5390625,-337.5078125,5,TownCity
Tigonus,,,,550,316,67,74,5506731674,Tigonus,550.5234375,-316.421875,6,TownCity
Ayasofya,,,,451,402,67,68,4516740268,Ayasofya,451.5234375,-402.46875,8,TownCity
Alik'ra,,,,401,443,61,58,4016144358,Alik'r Desert,401.4765625,-443.546875,8,TownCity
Pothago,,,,249,408,67,64,2496740864,Pothago,249.5234375,-408.5,7,TownCity
Abibon-gora,,,,207,474,64,70,2076447470,Abibon-gora,207.5,-474.453125,7,TownCity
Kairou,,,,220,459,60,74,2206045974,Kairou,220.46875,-459.421875,7,TownCity
Myrkwasa,,,,291,418,63,65,2916341865,Myrkwasa,291.4921875,-418.4921875,7,TownCity
Kaluhbia,,,,415,480,78,67,4157848067,Bergama,415.609375,-480.4765625,8,TownCity
Bergama,,,,431,472,70,61,4317047261,Bergama,431.546875,-472.5234375,8,TownCity
Antyphyllos,,,,471,446,63,65,4716344665,Antiphyllos,471.4921875,-446.4921875,8,TownCity
Santaki,,,,653,437,73,72,6537343772,Santaki,653.5703125,-437.4375,9,TownCity
Lainlyn,,,,737,289,58,67,7375828967,Lainlyn,737.453125,-289.4765625,5,TownCity
Totambu,,,,868,364,70,73,8687036473,Totambu,868.546875,-364.4296875,5,TownCity
Satakalaam,,,,839,302,67,78,8396730278,Satakalaam,839.5234375,-302.390625,5,TownCity
Mournoth,,,,981,324,65,60,9816532460,Mournoth,981.5078125,-324.53125,5,TownCity
