name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_05,847,228,69,24,8476922824,Wayrest,847.5390625,-228.8125
Bandit Camp,0,WOD_BanditCamp_06,909,194,56,40,9095619440,Wayrest,909.4375,-194.6875
Bandit Camp,0,WOD_BanditCamp_02,906,209,31,86,9063120986,Wayrest,906.2421875,-209.328125
Bandit Camp,0,WOD_BanditCamp_01,832,243,78,93,8327824393,Wayrest,832.609375,-243.2734375
Bandit Camp,0,WOD_BanditCamp_01,953,222,111,29,95311122229,Wayrest,953.8671875,-222.7734375
Bandit Fort,0,WOD_BanditFort_01,860,194,102,86,86010219486,Wayrest,860.796875,-194.328125
Bandit Fort,0,WOD_BanditFort_01,920,203,56,93,9205620393,Wayrest,920.4375,-203.2734375
Bandit Camp,0,WOD_BanditCamp_01,939,239,115,64,93911523964,Wayrest,939.8984375,-239.5
Bandit Fort,0,WOD_BanditFort_01,877,241,45,49,8774524149,Wayrest,877.3515625,-241.6171875
Bandit Camp,0,WOD_BanditCamp_05,887,186,102,14,88710218614,Wayrest,887.796875,-186.890625
Bandit Camp,0,WOD_BanditCamp_06,963,265,63,59,9636326559,Wayrest,963.4921875,-265.5390625
Bandit Fort,0,WOD_BanditFort_01,907,185,67,118,90767185118,Wayrest,907.5234375,-185.078125
Bandit Fort,0,WOD_BanditFort_03,938,253,78,28,9387825328,Wayrest,938.609375,-253.78125
Bandit Camp,0,WOD_BanditCamp_02,916,215,72,27,9167221527,Wayrest,916.5625,-215.7890625
Bandit Fort,0,WOD_BanditFort_01,951,252,13,92,9511325292,Wayrest,951.1015625,-252.28125
Bandit Fort,0,WOD_BanditFort_03,928,227,113,96,92811322796,Wayrest,928.8828125,-227.25
Bandit Fort,0,WOD_BanditFort_01,885,224,69,106,88569224106,Wayrest,885.5390625,-224.171875
Bandit Camp,0,WOD_BanditCamp_06,956,234,73,77,9567323477,Wayrest,956.5703125,-234.3984375
Bandit Camp,0,WOD_BanditCamp_01,950,253,69,88,9506925388,Wayrest,950.5390625,-253.3125
Bandit Camp,0,WOD_BanditCamp_02,970,238,79,118,97079238118,Wayrest,970.6171875,-238.078125
Bandit Camp,0,WOD_BanditCamp_03,983,248,4,109,98304248109,Wayrest,983.03125,-248.1484375
Bandit Fort,0,WOD_BanditFort_02,932,219,41,40,9324121940,Wayrest,932.3203125,-219.6875
Bandit Camp,0,WOD_BanditCamp_01,919,225,31,97,9193122597,Wayrest,919.2421875,-225.2421875
Bandit Camp,0,WOD_BanditCamp_02,947,225,74,47,9477422547,Wayrest,947.578125,-225.6328125
Bandit Fort,0,WOD_BanditFort_02,879,207,32,14,8793220714,Wayrest,879.25,-207.890625
Bandit Fort,0,WOD_BanditFort_01,862,250,28,73,8622825073,Wayrest,862.21875,-250.4296875
Bandit Fort,0,WOD_BanditFort_01,879,239,29,47,8792923947,Wayrest,879.2265625,-239.6328125
Bandit Camp,0,WOD_BanditCamp_02,835,213,54,90,8355421390,Wayrest,835.421875,-213.296875
Bandit Fort,0,WOD_BanditFort_02,924,228,18,87,9241822887,Wayrest,924.140625,-228.3203125
Bandit Camp,0,WOD_BanditCamp_03,946,229,51,26,9465122926,Wayrest,946.3984375,-229.796875
Bandit Camp,0,WOD_BanditCamp_01,898,234,78,55,8987823455,Wayrest,898.609375,-234.5703125
Bandit Camp,0,WOD_BanditCamp_06,940,233,76,96,9407623396,Wayrest,940.59375,-233.25
