name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Small_06,26,759,49,14,99,Wrothgarian Mountains,759.109375,-49.2265625,4.0,1,0.8195254
Foothills,1,WOD_Mountain_Small_01,-89,853,140,99,24,Wrothgarian Mountains,853.7734375,-140.8125,4.0,1,0.8860757
Foothills,1,WOD_Mountain_Small_04,6,755,71,17,63,Wrothgarian Mountains,755.1328125,-71.5078125,4.0,1,0.8411053
Foothills,1,WOD_Mountain_Small_05,102,806,23,106,97,Wrothgarian Mountains,806.828125,-23.2421875,4.0,1,0.7750349
Foothills,1,WOD_Mountain_Small_05,142,758,72,105,54,Wrothgarian Mountains,758.8203125,-72.578125,4.0,1,0.7533766
Foothills,1,WOD_Mountain_Small_03,169,827,27,37,76,Wrothgarian Mountains,827.2890625,-27.40625,4.0,1,0.91669
Foothills,1,WOD_Mountain_Small_07,-49,735,70,122,42,Wrothgarian Mountains,735.953125,-70.671875,4.0,1,0.6284145
Foothills,1,WOD_Mountain_Small_04,-52,808,55,110,67,Wrothgarian Mountains,808.859375,-55.4765625,4.0,1,0.933048
Foothills,1,WOD_Mountain_Small_07,-22,930,194,69,10,Wrothgarian Mountains,930.5390625,-194.921875,4.0,1,0.7845917
Foothills,1,WOD_Mountain_Small_01,-165,788,22,36,50,Wrothgarian Mountains,788.28125,-22.609375,4.0,1,0.6473098
Foothills,1,WOD_Mountain_Small_04,-102,985,161,61,127,Wrothgarian Mountains,985.4765625,-161.0078125,4.0,1,0.7058222
Foothills,1,WOD_Mountain_Small_03,-13,978,18,84,58,Wrothgarian Mountains,978.65625,-18.546875,4.0,1,0.9096935
Foothills,1,WOD_Mountain_Small_04,109,986,1,13,63,Wrothgarian Mountains,986.1015625,-1.5078125,4.0,1,0.8467736
Foothills,1,WOD_Mountain_Small_06,-154,991,51,83,27,Wrothgarian Mountains,991.6484375,-51.7890625,4.0,1,0.9774992
Foothills,1,WOD_Mountain_Small_01,165,796,138,54,44,Wrothgarian Mountains,796.421875,-138.65625,4.0,1,0.8790525
Foothills,1,WOD_Mountain_Small_04,-13,935,112,110,102,Wrothgarian Mountains,935.859375,-112.203125,4.0,1,0.6515705
Foothills,1,WOD_Mountain_Small_01,-64,850,57,60,81,Wrothgarian Mountains,850.46875,-57.3671875,4.0,1,0.7261713
Foothills,1,WOD_Mountain_Small_02,-64,842,85,18,100,Wrothgarian Mountains,842.140625,-85.21875,4.0,1,0.6408179
Foothills,1,WOD_Mountain_Small_06,-91,905,144,13,110,Wrothgarian Mountains,905.1015625,-144.140625,4.0,1,0.6835507
Foothills,1,WOD_Mountain_Small_05,145,961,4,125,83,Wrothgarian Mountains,961.9765625,-4.3515625,4.0,1,0.6645238
Foothills,1,WOD_Mountain_Small_03,-155,842,69,108,76,Wrothgarian Mountains,842.84375,-69.40625,4.0,1,0.6635878
Foothills,1,WOD_Mountain_Small_07,-12,823,1,124,23,Wrothgarian Mountains,823.96875,-1.8203125,4.0,1,0.6441501
Foothills,1,WOD_Mountain_Small_03,95,943,144,38,86,Wrothgarian Mountains,943.296875,-144.328125,4.0,1,0.6786329
Foothills,1,WOD_Mountain_Small_01,-50,812,13,47,4,Wrothgarian Mountains,812.3671875,-13.96875,4.0,1,0.74749
Foothills,1,WOD_Mountain_Small_05,-155,838,68,12,3,Wrothgarian Mountains,838.09375,-68.9765625,4.0,1,0.935178
Foothills,1,WOD_Mountain_Small_01,-69,713,18,78,79,Wrothgarian Mountains,713.609375,-18.3828125,4.0,1,0.8957055
Foothills,1,WOD_Mountain_Small_01,-80,827,51,74,50,Wrothgarian Mountains,827.578125,-51.609375,4.0,1,0.6156751
Foothills,1,WOD_Mountain_Small_05,-95,739,24,27,1,Wrothgarian Mountains,739.2109375,-24.9921875,4.0,1,0.7131228
Foothills,1,WOD_Mountain_Small_03,95,786,104,115,24,Wrothgarian Mountains,786.8984375,-104.8125,4.0,1,0.7657052
Foothills,1,WOD_Mountain_Small_04,-21,904,108,79,122,Wrothgarian Mountains,904.6171875,-108.046875,4.0,1,0.7061558
Foothills,1,WOD_Mountain_Small_05,127,997,14,104,55,Wrothgarian Mountains,997.8125,-14.5703125,4.0,1,0.9717185
Foothills,1,WOD_Mountain_Small_07,94,627,10,86,58,Wrothgarian Mountains,627.671875,-10.546875,4.0,1,0.7274276
Foothills,1,WOD_Mountain_Small_04,-60,977,145,79,72,Wrothgarian Mountains,977.6171875,-145.4375,4.0,1,0.8669642
Foothills,1,WOD_Mountain_Small_06,167,774,71,19,102,Wrothgarian Mountains,774.1484375,-71.203125,4.0,1,0.8865309
Foothills,1,WOD_Mountain_Small_07,169,837,31,114,26,Wrothgarian Mountains,837.890625,-31.796875,4.0,1,0.6732765
Foothills,1,WOD_Mountain_Small_05,-5,905,26,104,58,Wrothgarian Mountains,905.8125,-26.546875,4.0,1,0.8711266
Foothills,1,WOD_Mountain_Small_06,-74,864,132,106,37,Wrothgarian Mountains,864.828125,-132.7109375,4.0,1,0.7080032
Foothills,1,WOD_Mountain_Small_06,47,827,44,86,65,Wrothgarian Mountains,827.671875,-44.4921875,4.0,1,0.6995013
Foothills,1,WOD_Mountain_Small_07,33,949,59,106,6,Wrothgarian Mountains,949.828125,-59.953125,4.0,1,0.7206299
Foothills,1,WOD_Mountain_Small_01,0,732,38,123,59,Wrothgarian Mountains,732.9609375,-38.5390625,4.0,1,0.8472062
Foothills,1,WOD_Mountain_Small_02,38,887,59,40,54,Wrothgarian Mountains,887.3125,-59.578125,4.0,1,0.7193129
Foothills,1,WOD_Mountain_Small_01,-27,955,39,110,105,Wrothgarian Mountains,955.859375,-39.1796875,4.0,1,0.8279859
Foothills,1,WOD_Mountain_Small_06,-130,908,127,67,17,Wrothgarian Mountains,908.5234375,-127.8671875,4.0,1,0.9586186
Foothills,1,WOD_Mountain_Small_07,-28,848,17,119,44,Wrothgarian Mountains,848.9296875,-17.65625,4.0,1,0.7470248
Foothills,1,WOD_Mountain_Small_04,-172,891,19,14,14,Wrothgarian Mountains,891.109375,-19.890625,4.0,1,0.8815554
Foothills,1,WOD_Mountain_Small_06,33,946,82,37,87,Wrothgarian Mountains,946.2890625,-82.3203125,4.0,1,0.6400908
Foothills,1,WOD_Mountain_Small_01,-56,841,27,50,67,Wrothgarian Mountains,841.390625,-27.4765625,4.0,1,0.8856965
Foothills,1,WOD_Mountain_Small_02,126,994,122,12,23,Wrothgarian Mountains,994.09375,-122.8203125,4.0,1,0.9472504
Foothills,1,WOD_Mountain_Small_05,-89,773,29,32,46,Wrothgarian Mountains,773.25,-29.640625,4.0,1,0.8462238
Foothills,1,WOD_Mountain_Small_05,4,954,32,42,125,Wrothgarian Mountains,954.328125,-32.0234375,4.0,1,0.9392033
Foothills,1,WOD_Mountain_Small_04,66,924,34,114,9,Wrothgarian Mountains,924.890625,-34.9296875,4.0,1,0.8276403
Foothills,1,WOD_Mountain_Small_01,67,819,37,70,113,Wrothgarian Mountains,819.546875,-37.1171875,4.0,1,0.7628733
Foothills,1,WOD_Mountain_Small_02,31,970,145,31,105,Wrothgarian Mountains,970.2421875,-145.1796875,4.0,1,0.7814171
Foothills,1,WOD_Mountain_Small_06,62,843,130,1,47,Wrothgarian Mountains,843.0078125,-130.6328125,4.0,1,0.9423214
Foothills,1,WOD_Mountain_Small_06,0,774,94,50,28,Wrothgarian Mountains,774.390625,-94.78125,4.0,1,0.6046856
Foothills,1,WOD_Mountain_Small_04,140,959,143,31,119,Wrothgarian Mountains,959.2421875,-143.0703125,4.0,1,0.6799986
Foothills,1,WOD_Mountain_Small_01,65,956,197,3,118,Wrothgarian Mountains,956.0234375,-197.078125,4.0,1,0.6074087
Foothills,1,WOD_Mountain_Small_07,100,987,171,5,56,Wrothgarian Mountains,987.0390625,-171.5625,4.0,1,0.6895699
Foothills,1,WOD_Mountain_Small_03,-130,829,102,101,100,Wrothgarian Mountains,829.7890625,-102.21875,4.0,1,0.6127356
Foothills,1,WOD_Mountain_Small_02,-96,877,58,55,46,Wrothgarian Mountains,877.4296875,-58.640625,4.0,1,0.8308914
Foothills,1,WOD_Mountain_Small_03,-116,959,150,106,109,Wrothgarian Mountains,959.828125,-150.1484375,4.0,1,0.8142531
Foothills,1,WOD_Mountain_Small_03,55,721,35,64,95,Wrothgarian Mountains,721.5,-35.2578125,4.0,1,0.724778
Foothills,1,WOD_Mountain_Small_02,-49,901,8,4,120,Wrothgarian Mountains,901.03125,-8.0625,4.0,1,0.6744772
Foothills,1,WOD_Mountain_Small_03,-178,733,2,124,84,Wrothgarian Mountains,733.96875,-2.34375,4.0,1,0.8958203
Foothills,1,WOD_Mountain_Small_01,-97,990,2,33,17,Wrothgarian Mountains,990.2578125,-2.8671875,4.0,1,0.7017426
Foothills,1,WOD_Mountain_Small_02,175,777,72,104,31,Wrothgarian Mountains,777.8125,-72.7578125,4.0,1,0.6232117
Foothills,1,WOD_Mountain_Small_06,120,841,104,79,86,Wrothgarian Mountains,841.6171875,-104.328125,4.0,1,0.7737666
Foothills,1,WOD_Mountain_Small_07,155,997,142,91,106,Wrothgarian Mountains,997.7109375,-142.171875,4.0,1,0.7814788
Foothills,1,WOD_Mountain_Small_01,173,851,61,96,115,Wrothgarian Mountains,851.75,-61.1015625,4.0,1,0.9586685
Foothills,1,WOD_Mountain_Small_05,-59,724,72,1,17,Wrothgarian Mountains,724.0078125,-72.8671875,4.0,1,0.7094168
Foothills,1,WOD_Mountain_Small_03,79,966,146,36,14,Wrothgarian Mountains,966.28125,-146.890625,4.0,1,0.9811167
Foothills,1,WOD_Mountain_Small_02,-50,944,5,125,15,Wrothgarian Mountains,944.9765625,-5.8828125,4.0,1,0.9789482
Foothills,1,WOD_Mountain_Small_05,150,895,44,87,77,Wrothgarian Mountains,895.6796875,-44.3984375,4.0,1,0.6853248
Foothills,1,WOD_Mountain_Small_02,180,984,115,120,47,Wrothgarian Mountains,984.9375,-115.6328125,4.0,1,0.6102651
Foothills,1,WOD_Mountain_Small_07,69,838,58,18,111,Wrothgarian Mountains,838.140625,-58.1328125,4.0,1,0.7698742
Foothills,1,WOD_Mountain_Small_06,106,829,46,4,91,Wrothgarian Mountains,829.03125,-46.2890625,4.0,1,0.8347138
Foothills,1,WOD_Mountain_Small_03,-1,950,146,70,51,Wrothgarian Mountains,950.546875,-146.6015625,4.0,1,0.6470128
Foothills,1,WOD_Mountain_Small_07,18,931,194,116,67,Wrothgarian Mountains,931.90625,-194.4765625,4.0,1,0.6579391
Foothills,1,WOD_Mountain_Small_01,-79,727,13,123,60,Wrothgarian Mountains,727.9609375,-13.53125,4.0,1,0.9761728
Foothills,1,WOD_Mountain_Small_01,10,967,143,100,41,Wrothgarian Mountains,967.78125,-143.6796875,4.0,1,0.9614879
Foothills,1,WOD_Mountain_Small_04,98,804,91,28,115,Wrothgarian Mountains,804.21875,-91.1015625,4.0,1,0.9140612
Foothills,1,WOD_Mountain_Small_05,-64,935,84,78,26,Wrothgarian Mountains,935.609375,-84.796875,4.0,1,0.712692
Foothills,1,WOD_Mountain_Small_01,82,948,8,33,90,Wrothgarian Mountains,948.2578125,-8.296875,4.0,1,0.8345641
Foothills,1,WOD_Mountain_Small_02,-83,918,85,50,102,Wrothgarian Mountains,918.390625,-85.203125,0.0,1,0.6926807
Foothills,1,WOD_Mountain_Small_06,-84,834,65,124,22,Wrothgarian Mountains,834.96875,-65.828125,4.0,1,0.9765511
Foothills,1,WOD_Mountain_Small_06,-7,922,147,119,111,Wrothgarian Mountains,922.9296875,-147.1328125,4.0,1,0.9497152
Foothills,1,WOD_Mountain_Small_01,133,771,14,40,58,Wrothgarian Mountains,771.3125,-14.546875,4.0,1,0.9395774
Foothills,1,WOD_Mountain_Small_02,-27,965,122,120,29,Wrothgarian Mountains,965.9375,-122.7734375,4.0,1,0.7388934
Foothills,1,WOD_Mountain_Small_05,-83,764,64,45,67,Wrothgarian Mountains,764.3515625,-64.4765625,4.0,1,0.7913481
Foothills,1,WOD_Mountain_Small_05,-77,833,17,65,86,Wrothgarian Mountains,833.5078125,-17.328125,4.0,1,0.6547601
Foothills,1,WOD_Mountain_Small_05,136,779,104,3,83,Wrothgarian Mountains,779.0234375,-104.3515625,4.0,1,0.9288471
Foothills,1,WOD_Mountain_Small_06,128,825,134,8,47,Wrothgarian Mountains,825.0625,-134.6328125,4.0,1,0.9448766
Foothills,1,WOD_Mountain_Small_02,161,979,59,122,4,Wrothgarian Mountains,979.953125,-59.96875,4.0,1,0.9891678
Foothills,1,WOD_Mountain_Small_07,-146,820,145,65,64,Wrothgarian Mountains,820.5078125,-145.5,4.0,1,0.9843339
Foothills,1,WOD_Mountain_Small_07,-56,971,61,93,56,Wrothgarian Mountains,971.7265625,-61.5625,4.0,1,0.6324406
Foothills,1,WOD_Mountain_Small_01,89,612,12,100,91,Wrothgarian Mountains,612.78125,-12.2890625,4.0,1,0.6928937
Foothills,1,WOD_Mountain_Small_07,122,882,29,59,23,Wrothgarian Mountains,882.4609375,-29.8203125,4.0,1,0.6587787
Foothills,1,WOD_Mountain_Small_02,-34,930,167,78,1,Wrothgarian Mountains,930.609375,-167.9921875,4.0,1,0.6318088
Foothills,1,WOD_Mountain_Small_01,94,954,60,5,36,Wrothgarian Mountains,954.0390625,-60.71875,4.0,1,0.6358412
Foothills,1,WOD_Mountain_Small_05,105,801,90,128,99,Wrothgarian Mountains,802.0,-90.2265625,4.0,1,0.8688191
Foothills,1,WOD_Mountain_Small_06,-135,791,129,3,60,Wrothgarian Mountains,791.0234375,-129.53125,4.0,1,0.7081311
Foothills,1,WOD_Mountain_Small_06,7,871,30,123,29,Wrothgarian Mountains,871.9609375,-30.7734375,4.0,1,0.6525931
Foothills,1,WOD_Mountain_Small_01,-109,969,101,95,18,Wrothgarian Mountains,969.7421875,-101.859375,4.0,1,0.7206395
Foothills,1,WOD_Mountain_Small_05,-65,973,2,24,96,Wrothgarian Mountains,973.1875,-2.25,4.0,1,0.8733125
Foothills,1,WOD_Mountain_Small_03,-105,966,99,73,110,Wrothgarian Mountains,966.5703125,-99.140625,4.0,1,0.7134075
