name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale
Small Mountain,3,WOD_Mountain_01,989,112,47,19,9894711219,Wrothgarian Mountains,989.3671875,-112.8515625,-17,0.62
Small Mountain,3,WOD_Mountain_03,904,69,29,60,904296960,Wrothgarian Mountains,904.2265625,-69.53125,140,0.68
Small Mountain,3,WOD_Mountain_08,811,46,5,12,811054612,Wrothgarian Mountains,811.0390625,-46.90625,-162,0.67
Small Mountain,3,WOD_Mountain_02,662,36,78,14,662783614,Wrothgarian Mountains,662.609375,-36.890625,-166,0.6
Small Mountain,3,WOD_Mountain_05,999,174,44,51,9994417451,Wrothgarian Mountains,999.34375,-174.6015625,-89,0.64
Small Mountain,3,WOD_Mountain_08,956,140,59,47,9565914047,Wrothgarian Mountains,956.4609375,-140.6328125,29,0.68
Small Mountain,3,WOD_Mountain_05,816,133,9,123,81609133123,Wrothgarian Mountains,816.0703125,-133.0390625,61,0.55
Small Mountain,3,WOD_Mountain_06,755,128,68,111,75568128111,Wrothgarian Mountains,755.53125,-128.1328125,20,0.73
Small Mountain,3,WOD_Mountain_09,753,49,67,90,753674990,Wrothgarian Mountains,753.5234375,-49.296875,96,0.71
Small Mountain,3,WOD_Mountain_06,969,145,24,102,96924145102,Wrothgarian Mountains,969.1875,-145.203125,7,0.66
Small Mountain,3,WOD_Mountain_04,799,125,12,124,79912125124,Wrothgarian Mountains,799.09375,-125.03125,-2,0.71
Small Mountain,3,WOD_Mountain_01,762,73,1,60,762017360,Wrothgarian Mountains,762.0078125,-73.53125,-87,0.53
Small Mountain,3,WOD_Mountain_03,781,139,55,44,7815513944,Wrothgarian Mountains,781.4296875,-139.65625,-104,0.63
Small Mountain,3,WOD_Mountain_05,969,83,65,59,969658359,Wrothgarian Mountains,969.5078125,-83.5390625,-34,0.64
Small Mountain,3,WOD_Mountain_07,750,116,61,64,7506111664,Wrothgarian Mountains,750.4765625,-116.5,100,0.62
Small Mountain,3,WOD_Mountain_04,955,63,3,63,955036363,Wrothgarian Mountains,955.0234375,-63.5078125,-106,0.6
Small Mountain,3,WOD_Mountain_06,958,25,84,35,958842535,Wrothgarian Mountains,958.65625,-25.7265625,135,0.52
Small Mountain,3,WOD_Mountain_02,925,83,52,87,925528387,Wrothgarian Mountains,925.40625,-83.3203125,-26,0.59
Small Mountain,3,WOD_Mountain_03,833,74,106,45,8331067445,Wrothgarian Mountains,833.828125,-74.6484375,22,0.51
Small Mountain,3,WOD_Mountain_04,849,3,29,49,849290349,Wrothgarian Mountains,849.2265625,-3.6171875,178,0.56
Small Mountain,3,WOD_Mountain_09,957,74,70,60,957707460,Wrothgarian Mountains,957.546875,-74.53125,37,0.72
Small Mountain,3,WOD_Mountain_07,603,31,10,102,6031031102,Wrothgarian Mountains,603.078125,-31.203125,-18,0.64
Small Mountain,3,WOD_Mountain_09,775,62,76,95,775766295,Wrothgarian Mountains,775.59375,-62.2578125,-60,0.66
Small Mountain,3,WOD_Mountain_01,832,62,93,88,832936288,Wrothgarian Mountains,832.7265625,-62.3125,55,0.53
Small Mountain,3,WOD_Mountain_09,766,72,86,59,766867259,Wrothgarian Mountains,766.671875,-72.5390625,-40,0.52
Small Mountain,3,WOD_Mountain_03,988,80,109,41,9881098041,Wrothgarian Mountains,988.8515625,-80.6796875,-127,0.61
Small Mountain,3,WOD_Mountain_02,995,119,58,61,9955811961,Wrothgarian Mountains,995.453125,-119.5234375,88,0.74
Small Mountain,3,WOD_Mountain_09,936,100,61,72,9366110072,Wrothgarian Mountains,936.4765625,-100.4375,-61,0.61
Small Mountain,3,WOD_Mountain_03,815,47,125,125,81512547125,Wrothgarian Mountains,815.9765625,-47.0234375,-134,0.74
