name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,heightOffset
Rocks,1,WOD_Rocks_Large_01,816,24,816252421,25,21,Wrothgarian Mountains,816.1953125,-24.8359375,-110,-8
Rocks,1,WOD_Rocks_Large_05,875,125,8758912507,89,7,Wrothgarian Mountains,875.6953125,-125.9453125,81,-11
Rocks,1,WOD_Rocks_Large_07,705,9,70512609120,126,120,Wrothgarian Mountains,705.984375,-9.0625,7,-26
Rocks,1,WOD_Rocks_Large_09,738,112,738106112125,106,125,Wrothgarian Mountains,738.828125,-112.0234375,36,-10
Rocks,1,WOD_Rocks_Small_01,601,26,601592602,59,2,Wrothgarian Mountains,601.4609375,-26.984375,-178,0
Rocks,1,WOD_Rocks_Small_05,799,102,7999310267,93,67,Wrothgarian Mountains,799.7265625,-102.4765625,87,0
Rocks,1,WOD_Rocks_Small_10,901,66,901916618,91,18,Wrothgarian Mountains,901.7109375,-66.859375,5,0
Rocks,1,WOD_Rocks_Medium_01,800,85,80010285124,102,124,Wrothgarian Mountains,800.796875,-85.03125,-127,-6
Rocks,1,WOD_Rocks_Medium_08,920,102,92012510274,125,74,Wrothgarian Mountains,920.9765625,-102.421875,-82,-11
Rocks,1,WOD_Rocks_Medium_10,942,23,9427923119,79,119,Wrothgarian Mountains,942.6171875,-23.0703125,157,-28
Rocks,1,WOD_Rocks_Medium_11,915,12,9151191298,119,98,Wrothgarian Mountains,915.9296875,-12.234375,-120,-1
Rocks,1,WOD_Rocks_Medium_12,742,46,742094634,9,34,Wrothgarian Mountains,742.0703125,-46.734375,35,-19
Rocks,1,WOD_Rocks_Large_02,921,107,92111107124,11,124,Wrothgarian Mountains,921.0859375,-107.03125,-95,0
Rocks,1,WOD_Rocks_Large_03,944,43,9440443123,4,123,Wrothgarian Mountains,944.03125,-43.0390625,-77,-30
Rocks,1,WOD_Rocks_Large_04,979,165,97912016597,120,97,Wrothgarian Mountains,979.9375,-165.2421875,-37,-23
Rocks,1,WOD_Rocks_Small_04,815,3,8151000336,100,36,Wrothgarian Mountains,815.78125,-3.71875,24,0
Rocks,1,WOD_Rocks_Small_07,858,109,85812710987,127,87,Wrothgarian Mountains,858.9921875,-109.3203125,-15,0
Rocks,1,WOD_Rocks_Small_08,789,103,78910910345,109,45,Wrothgarian Mountains,789.8515625,-103.6484375,-145,0
Rocks,1,WOD_Rocks_Medium_02,755,42,755134209,13,9,Wrothgarian Mountains,755.1015625,-42.9296875,-41,-12
Rocks,1,WOD_Rocks_Medium_03,896,91,896649155,64,55,Wrothgarian Mountains,896.5,-91.5703125,-119,-2
Rocks,1,WOD_Rocks_Medium_05,838,26,8384826128,48,128,Wrothgarian Mountains,838.375,-26,-122,-29
Rocks,1,WOD_Rocks_Medium_08,755,42,755914211,91,11,Wrothgarian Mountains,755.7109375,-42.9140625,-28,-25
Rocks,1,WOD_Rocks_Medium_12,772,96,772139696,13,96,Wrothgarian Mountains,772.1015625,-96.25,-14,-8
Rocks,1,WOD_Rocks_Large_04,825,15,8251241551,124,51,Wrothgarian Mountains,825.96875,-15.6015625,-13,-6
Rocks,1,WOD_Rocks_Large_08,610,7,610660718,66,18,Wrothgarian Mountains,610.515625,-7.859375,175,-4
Rocks,1,WOD_Rocks_Small_05,922,17,9221021790,102,90,Wrothgarian Mountains,922.796875,-17.296875,-53,0
Rocks,1,WOD_Rocks_Medium_01,784,22,784052262,5,62,Wrothgarian Mountains,784.0390625,-22.515625,-80,-11
Rocks,1,WOD_Rocks_Medium_02,948,160,9488416004,84,4,Wrothgarian Mountains,948.65625,-160.96875,-129,-1
Rocks,1,WOD_Rocks_Medium_04,925,29,925282923,28,23,Wrothgarian Mountains,925.21875,-29.8203125,119,-7
Rocks,1,WOD_Rocks_Medium_11,752,124,752113124113,113,113,Wrothgarian Mountains,752.8828125,-124.1171875,123,-29
