name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Fort,0,WOD_BanditFort_03,344,30,28,56,344283056,Ykalon,344.21875,-30.5625
Bandit Fort,0,WOD_BanditFort_02,384,11,5,60,384051160,Ykalon,384.0390625,-11.53125
Bandit Camp,0,WOD_BanditCamp_02,444,17,63,115,4446317115,Ykalon,444.4921875,-17.1015625
Bandit Camp,0,WOD_BanditCamp_06,330,14,41,23,330411423,Ykalon,330.3203125,-14.8203125
Bandit Fort,0,WOD_BanditFort_03,318,32,56,44,318563244,Ykalon,318.4375,-32.65625
Bandit Camp,0,WOD_BanditCamp_03,370,38,44,82,370443882,Ykalon,370.34375,-38.359375
Bandit Camp,0,WOD_BanditCamp_03,367,18,70,110,3677018110,Ykalon,367.546875,-18.140625
Bandit Camp,0,WOD_BanditCamp_06,336,28,49,84,336492884,Ykalon,336.3828125,-28.34375
Bandit Camp,0,WOD_BanditCamp_01,324,18,97,79,324971879,Ykalon,324.7578125,-18.3828125
Bandit Camp,0,WOD_BanditCamp_02,319,14,56,90,319561490,Ykalon,319.4375,-14.296875
Bandit Camp,0,WOD_BanditCamp_06,315,2,6,114,3150602114,Ykalon,315.046875,-2.109375
Bandit Fort,0,WOD_BanditFort_03,302,20,41,97,302412097,Ykalon,302.3203125,-20.2421875
Bandit Fort,0,WOD_BanditFort_01,412,0,15,115,4121500115,Ykalon,412.1171875,-0.1015625
Bandit Camp,0,WOD_BanditCamp_03,278,18,73,115,2787318115,Ykalon,278.5703125,-18.1015625
Bandit Camp,0,WOD_BanditCamp_05,363,43,114,15,3631144315,Ykalon,363.890625,-43.8828125
Bandit Camp,0,WOD_BanditCamp_02,431,2,4,28,431040228,Ykalon,431.03125,-2.78125
Bandit Fort,0,WOD_BanditFort_03,296,19,118,93,2961181993,Ykalon,296.921875,-19.2734375
Bandit Fort,0,WOD_BanditFort_01,288,36,108,15,2881083615,Ykalon,288.84375,-36.8828125
Bandit Camp,0,WOD_BanditCamp_03,381,22,116,32,3811162232,Ykalon,381.90625,-22.75
Bandit Camp,0,WOD_BanditCamp_01,399,17,47,35,399471735,Ykalon,399.3671875,-17.7265625
Bandit Fort,0,WOD_BanditFort_03,428,38,37,96,428373896,Ykalon,428.2890625,-38.25
Bandit Camp,0,WOD_BanditCamp_02,388,37,55,59,388553759,Ykalon,388.4296875,-37.5390625
Bandit Fort,0,WOD_BanditFort_03,289,50,97,14,289975014,Ykalon,289.7578125,-50.890625
Bandit Camp,0,WOD_BanditCamp_06,342,35,17,124,3421735124,Ykalon,342.1328125,-35.03125
Bandit Camp,0,WOD_BanditCamp_05,359,18,5,33,359051833,Ykalon,359.0390625,-18.7421875
Bandit Fort,0,WOD_BanditFort_03,373,14,52,90,373521490,Ykalon,373.40625,-14.296875
Bandit Fort,0,WOD_BanditFort_03,306,16,118,76,3061181676,Ykalon,306.921875,-16.40625
Bandit Fort,0,WOD_BanditFort_03,375,15,109,73,3751091573,Ykalon,375.8515625,-15.4296875
Bandit Fort,0,WOD_BanditFort_03,405,5,106,6,4051060506,Ykalon,405.828125,-5.953125
Bandit Camp,0,WOD_BanditCamp_06,335,17,3,5,335031705,Ykalon,335.0234375,-17.9609375
Bandit Fort,0,WOD_BanditFort_02,402,3,29,32,402290332,Ykalon,402.2265625,-3.75
Bandit Camp,0,WOD_BanditCamp_06,374,17,8,36,374081736,Ykalon,374.0625,-17.71875
Bandit Fort,0,WOD_BanditFort_03,419,33,47,113,4194733113,Ykalon,419.3671875,-33.1171875
Bandit Camp,0,WOD_BanditCamp_06,295,21,8,49,295082149,Ykalon,295.0625,-21.6171875
Bandit Fort,0,WOD_BanditFort_01,411,5,111,36,4111110536,Ykalon,411.8671875,-5.71875
Bandit Camp,0,WOD_BanditCamp_05,348,6,108,110,34810806110,Ykalon,348.84375,-6.140625
Bandit Fort,0,WOD_BanditFort_01,370,33,36,99,370363399,Ykalon,370.28125,-33.2265625
Bandit Fort,0,WOD_BanditFort_03,371,0,79,105,3717900105,Ykalon,371.6171875,-0.1796875
Bandit Camp,0,WOD_BanditCamp_03,341,34,109,109,34110934109,Ykalon,341.8515625,-34.1484375
