name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_01,359,35,92,81,359923581,Ykalon,359.71875,-35.3671875
Ruins,0,WOD_Ruins_02,338,26,68,10,338682610,Ykalon,338.53125,-26.921875
Ruins,0,WOD_Ruins_06,299,19,93,84,299931984,Ykalon,299.7265625,-19.34375
Ruins,0,WOD_Ruins_05,376,8,81,74,376810874,Ykalon,376.6328125,-8.421875
Ruins,0,WOD_Ruins_02,413,14,20,65,413201465,Ykalon,413.15625,-14.4921875
Ruins,0,WOD_Ruins_02,354,30,56,97,354563097,Ykalon,354.4375,-30.2421875
Ruins,0,WOD_Ruins_03,355,30,46,88,355463088,Ykalon,355.359375,-30.3125
Ruins,0,WOD_Ruins_06,333,13,26,120,3332613120,Ykalon,333.203125,-13.0625
Ruins,0,WOD_Ruins_01,395,23,12,45,395122345,Ykalon,395.09375,-23.6484375
Ruins,0,WOD_Ruins_04,294,26,73,44,294732644,Ykalon,294.5703125,-26.65625
Ruins,0,WOD_Ruins_03,301,23,32,35,301322335,Ykalon,301.25,-23.7265625
Ruins,0,WOD_Ruins_04,298,44,78,95,298784495,Ykalon,298.609375,-44.2578125
Ruins,0,WOD_Ruins_03,429,13,40,38,429401338,Ykalon,429.3125,-13.703125
Ruins,0,WOD_Ruins_03,441,18,28,72,441281872,Ykalon,441.21875,-18.4375
