name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,389,13,97,97,389971397,Ykalon,389.758,-13.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,354,38,74,10,354743810,Ykalon,354.578,-38.921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,397,26,76,78,397762678,Ykalon,397.594,-26.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,443,31,100,96,4431003196,Ykalon,443.781,-31.25
Shrine of Dibella,0,WOD_Shrine_Dibella_01,359,8,36,61,359360861,Ykalon,359.281,-8.5234375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,348,34,9,55,348093455,Ykalon,348.07,-34.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,352,12,99,14,352991214,Ykalon,352.773,-12.890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,291,34,64,105,2916434105,Ykalon,291.5,-34.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,400,31,63,84,400633184,Ykalon,400.492,-31.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,296,3,87,54,296870354,Ykalon,296.68,-3.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,384,27,97,70,384972770,Ykalon,384.758,-27.453125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,337,12,45,78,337451278,Ykalon,337.352,-12.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,1,79,114,3667901114,Ykalon,366.617,-1.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,328,27,82,23,328822723,Ykalon,328.641,-27.8203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,281,24,74,102,2817424102,Ykalon,281.578,-24.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,292,11,110,90,2921101190,Ykalon,292.859,-11.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,340,13,46,22,340461322,Ykalon,340.359,-13.828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,333,39,78,37,333783937,Ykalon,333.609,-39.7109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,326,45,13,104,3261345104,Ykalon,326.102,-45.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,322,18,28,79,322281879,Ykalon,322.219,-18.3828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,404,33,3,92,404033392,Ykalon,404.023,-33.28125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,311,44,124,47,3111244447,Ykalon,311.969,-44.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,408,4,74,6,408740406,Ykalon,408.578,-4.953125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,435,20,88,108,4358820108,Ykalon,435.688,-20.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,436,27,55,77,436552777,Ykalon,436.43,-27.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,404,24,113,88,4041132488,Ykalon,404.883,-24.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,359,36,115,91,3591153691,Ykalon,359.898,-36.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,276,39,88,83,276883983,Ykalon,276.688,-39.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,416,34,64,40,416643440,Ykalon,416.5,-34.6875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,295,11,27,45,295271145,Ykalon,295.211,-11.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,411,23,44,102,4114423102,Ykalon,411.344,-23.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,370,13,110,72,3701101372,Ykalon,370.859,-13.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,312,24,109,18,3121092418,Ykalon,312.852,-24.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,316,4,97,40,316970440,Ykalon,316.758,-4.6875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,13,51,63,367511363,Ykalon,367.398,-13.5078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,411,14,17,104,4111714104,Ykalon,411.133,-14.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,379,36,42,69,379423669,Ykalon,379.328,-36.4609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,342,53,108,115,34210853115,Ykalon,342.844,-53.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,281,15,79,83,281791583,Ykalon,281.617,-15.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,436,18,9,111,4360918111,Ykalon,436.07,-18.1328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,444,23,83,111,4448323111,Ykalon,444.648,-23.1328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,286,23,54,100,2865423100,Ykalon,286.422,-23.21875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,432,25,13,4,432132504,Ykalon,432.102,-25.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,289,17,23,104,2892317104,Ykalon,289.18,-17.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,443,28,73,28,443732828,Ykalon,443.57,-28.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,281,18,83,12,281831812,Ykalon,281.648,-18.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,365,39,67,110,3656739110,Ykalon,365.523,-39.140625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,395,3,15,118,3951503118,Ykalon,395.117,-3.078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,350,32,92,87,350923287,Ykalon,350.719,-32.3203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,355,42,54,99,355544299,Ykalon,355.422,-42.2265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,421,36,76,99,421763699,Ykalon,421.594,-36.2265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,384,2,81,58,384810258,Ykalon,384.633,-2.546875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,279,40,87,106,2798740106,Ykalon,279.68,-40.171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,372,27,42,38,372422738,Ykalon,372.328,-27.703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,314,46,24,91,314244691,Ykalon,314.188,-46.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,337,37,28,29,337283729,Ykalon,337.219,-37.7734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,405,27,106,74,4051062774,Ykalon,405.828,-27.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,280,45,58,28,280584528,Ykalon,280.453,-45.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,429,4,23,36,429230436,Ykalon,429.18,-4.71875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,328,53,35,42,328355342,Ykalon,328.273,-53.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,343,4,76,111,3437604111,Ykalon,343.594,-4.1328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,387,25,17,50,387172550,Ykalon,387.133,-25.609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,318,25,23,113,3182325113,Ykalon,318.18,-25.1171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,276,35,105,41,2761053541,Ykalon,276.82,-35.6796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,360,20,13,74,360132074,Ykalon,360.102,-20.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,400,23,113,124,40011323124,Ykalon,400.883,-23.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,288,41,125,13,2881254113,Ykalon,288.977,-41.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,382,15,54,65,382541565,Ykalon,382.422,-15.4921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,408,39,45,122,4084539122,Ykalon,408.352,-39.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,276,20,110,105,27611020105,Ykalon,276.859,-20.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,425,38,118,4,4251183804,Ykalon,425.922,-38.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,317,38,108,70,3171083870,Ykalon,317.844,-38.453125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,334,40,37,78,334374078,Ykalon,334.289,-40.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,295,24,40,109,2954024109,Ykalon,295.313,-24.1484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,415,8,36,95,415360895,Ykalon,415.281,-8.2578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,383,32,115,27,3831153227,Ykalon,383.898,-32.7890625
