name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,384,18,61,99,384611899,Ykalon,384.4765625,-18.2265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,332,15,65,42,332651542,Ykalon,332.5078125,-15.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,302,30,27,100,3022730100,Ykalon,302.2109375,-30.21875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,339,37,116,79,3391163779,Ykalon,339.90625,-37.3828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,289,40,18,17,289184017,Ykalon,289.140625,-40.8671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,306,48,63,51,306634851,Ykalon,306.4921875,-48.6015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,442,38,51,78,442513878,Ykalon,442.3984375,-38.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,289,41,58,77,289584177,Ykalon,289.453125,-41.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,331,43,36,116,3313643116,Ykalon,331.28125,-43.09375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,376,14,29,22,376291422,Ykalon,376.2265625,-14.828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,311,22,31,76,311312276,Ykalon,311.2421875,-22.40625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,357,21,10,54,357102154,Ykalon,357.078125,-21.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,294,2,99,59,294990259,Ykalon,294.7734375,-2.5390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,410,9,58,74,410580974,Ykalon,410.453125,-9.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,348,29,83,78,348832978,Ykalon,348.6484375,-29.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,20,17,28,392172028,Ykalon,392.1328125,-20.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,304,43,91,52,304914352,Ykalon,304.7109375,-43.59375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,328,1,124,97,3281240197,Ykalon,328.96875,-1.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,361,10,76,41,361761041,Ykalon,361.59375,-10.6796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,375,22,74,104,3757422104,Ykalon,375.578125,-22.1875
